feature,n_subjects,median_before,median_during,median_difference,median_percent_change,n_increased,n_decreased,n_unchanged,n_nonzero_differences,n_valid_percent_changes,direction_consistency,rank_biserial,wilcoxon_statistic,p_value,p_fdr_bh_paired,significant_fdr,beta_condition_std,p_fdr_bh_lmm,converged,direction_agrees
maximum,6,0.54,0.52,-0.012500000000000011,-2.0865642182433337,1,5,0,6,6,0.8333333333333334,-0.9047619047619048,1.0,0.0625,0.7291666666666666,False,-0.1332974733975275,0.08319137400521692,True,True
kurtosis,6,1.385,1.885,0.5425,22.764106388267464,5,1,0,6,6,0.8333333333333334,0.9047619047619048,1.0,0.0625,0.7291666666666666,False,-0.11963485011806882,0.3003465439191031,True,False
median,6,0.005,-0.005,-0.01,16.666666666666657,2,4,0,6,4,0.6666666666666666,-0.7142857142857143,3.0,0.125,0.7291666666666666,False,-0.242357604789123,8.483580105341519e-09,True,True
approximateEntropy,6,0.5025,0.45999999999999996,-0.05749999999999997,-14.53645364536453,1,4,1,5,6,0.6666666666666666,-0.8666666666666667,1.0,0.125,0.7291666666666666,False,-0.6319916603728081,4.6369715246389004e-20,True,True
sampleEntropy,6,0.39749999999999996,0.3225,-0.0475,-16.27536231884058,1,4,1,5,6,0.6666666666666666,-0.8666666666666667,1.0,0.125,0.7291666666666666,False,-0.4564734091967124,3.4544361663097033e-18,True,True
detrendedFluctuation,6,0.505,0.49,-0.034999999999999976,-6.63265306122449,0,4,2,4,6,0.6666666666666666,-1.0,0.0,0.125,0.7291666666666666,False,-0.24690405639618454,4.800521643150637e-06,True,True
fd_mean,6,9.05,7.8825,-0.30000000000000027,-4.860165385789567,2,4,0,6,6,0.6666666666666666,-0.7142857142857143,3.0,0.15625,0.78125,False,0.012555163146066578,0.8531325205653082,True,False
skewness,6,-0.5125,-0.385,0.042499999999999996,15.985202492211837,4,2,0,6,6,0.6666666666666666,0.14285714285714285,9.0,0.84375,1.0,False,-0.015297154789030229,0.890212121717479,True,False
permutationEntropy,6,2.24,2.285,0.030000000000000027,1.3797692990239587,4,2,0,6,6,0.6666666666666666,-0.047619047619047616,10.0,1.0,1.0,False,-0.1029698909165808,0.06986337937022831,True,False
hjorthComplexity,6,1.865,1.825,-0.04999999999999993,-2.848552627313685,2,4,0,6,6,0.6666666666666666,-0.3333333333333333,7.0,0.5625,1.0,False,0.0492293500558754,0.20567627979300565,True,False
fd_median,6,3.9825,3.1500000000000004,-0.20999999999999996,-12.32955076118427,2,4,0,6,6,0.6666666666666666,-0.3333333333333333,7.0,0.5625,1.0,False,-0.06848779731688905,0.30224772662592836,True,True
minimum,6,-0.595,-0.6,0.0050000000000000044,0.4098360655737709,3,2,1,5,6,0.5,0.2,6.0,0.8125,1.0,False,0.003404862428610724,0.9546280405785836,True,True
standardDeviation,6,0.175,0.19,0.010000000000000009,1.7241379310344844,3,2,1,5,6,0.5,0.6,3.0,0.3125,1.0,False,0.1668168048306445,2.1432112907653474e-06,True,True
variance,6,0.03,0.035,0.004999999999999999,2.9411764705882297,3,1,2,4,6,0.5,0.6,2.0,0.375,1.0,False,0.16220364098006265,4.498925400273128e-06,True,True
numberOfZeroCrossing,6,1446.75,1419.5,0.75,-1.6201198129353631,3,3,0,6,6,0.5,-0.14285714285714285,9.0,0.84375,1.0,False,-0.25710470411227704,4.377449159613568e-05,True,False
positiveToNegativeSampleRatio,6,1.08,0.94,-0.04249999999999998,-3.904538341158057,3,3,0,6,6,0.5,-0.047619047619047616,10.0,1.0,1.0,False,0.06707710338712915,0.1371266543714043,True,False
meanAbsoluteValue,6,0.125,0.13,0.0049999999999999975,2.1276595744680873,3,2,1,5,6,0.5,0.4,4.5,0.5,1.0,False,0.15336042072706987,2.1965192360485797e-05,True,True
singularValueDecompositionEntropy,6,1.18,1.15,0.0,-0.07426516572858038,3,3,0,6,6,0.5,-0.047619047619047616,10.0,1.0,1.0,False,-0.1359842168842658,3.937183665821514e-05,True,False
renyiEntropy,6,-8.7975,-9.0325,-0.022499999999999964,-0.14518814518814474,3,3,0,6,6,0.5,-0.14285714285714285,9.0,0.84375,1.0,False,-0.18026372078152675,0.0870051281080874,True,True
hjorthMobility,6,0.515,0.485,0.0050000000000000044,0.9090909090909098,3,2,1,5,6,0.5,0.06666666666666667,7.0,1.0,1.0,False,-0.09637962894648698,0.010583107626910504,True,False
katzFd,6,3.5125,3.45,-0.00749999999999984,-0.21428571428570972,2,3,1,5,6,0.5,-0.4,4.5,0.5,1.0,False,-0.05054377494936555,0.6550240317832864,True,True
higuchiFd,6,1.42,1.3650000000000002,-0.007500000000000062,-0.7109004739336551,2,3,1,5,6,0.5,-0.6,3.0,0.3125,1.0,False,-0.19583195888536103,5.188406076242651e-07,True,True
fd_maximum,6,447.365,533.0275,63.92500000000001,6.552206234268787,3,3,0,6,6,0.5,0.23809523809523808,8.0,0.6875,1.0,False,0.14274967153192514,0.001277834789679382,True,True
fd_standardDeviation,6,19.8975,21.740000000000002,1.2550000000000008,1.1262816809586684,3,3,0,6,6,0.5,0.42857142857142855,6.0,0.4375,1.0,False,0.1731110705181059,9.181967697065854e-07,True,True
fd_variance,6,408.8775,472.8025,43.647500000000036,2.37532956362433,3,3,0,6,6,0.5,0.42857142857142855,6.0,0.4375,1.0,False,0.16290614255111532,4.498925400273128e-06,True,True
fd_kurtosis,6,228.885,172.24,3.8399999999999928,-5.3372754131366325,3,3,0,6,6,0.5,0.14285714285714285,9.0,0.84375,1.0,False,0.08190456587580539,0.3003465439191031,True,True
fd_skewness,6,11.555,9.985,0.6974999999999996,4.4764744745176,3,3,0,6,6,0.5,0.14285714285714285,9.0,0.84375,1.0,False,0.11152418208753363,0.0870051281080874,True,True
spectralEntropy,6,4.835,4.595000000000001,-0.054999999999999716,-1.2974630726863,3,3,0,6,6,0.5,-0.42857142857142855,6.0,0.4375,1.0,False,-0.10345546768144727,0.011335838119908735,True,True
fd_bandPower,6,0.03,0.035,0.004999999999999999,2.9411764705882297,3,1,2,4,6,0.5,0.6,2.0,0.375,1.0,False,0.15944679682215585,4.800521643150637e-06,True,True
lempelZivComplexity,6,2.0,2.0,0.0,0.0,2,0,4,2,6,0.3333333333333333,1.0,0.0,0.5,1.0,False,0.20765671045159748,4.498925400273128e-06,True,False
