,feature,n_subjects,median_before,median_during,median_difference,median_percent_change,n_increased,n_decreased,n_unchanged,n_nonzero_differences,n_valid_percent_changes,direction_consistency,rank_biserial,wilcoxon_statistic,p_value,p_fdr_bh,significant_fdr
0,maximum,6,0.54,0.52,-0.012500000000000011,-2.0865642182433337,1,5,0,6,6,0.8333333333333334,-0.9047619047619048,1.0,0.0625,0.7291666666666666,False
1,kurtosis,6,1.385,1.885,0.5425,22.764106388267464,5,1,0,6,6,0.8333333333333334,0.9047619047619048,1.0,0.0625,0.7291666666666666,False
2,median,6,0.005,-0.005,-0.01,16.666666666666657,2,4,0,6,4,0.6666666666666666,-0.7142857142857143,3.0,0.125,0.7291666666666666,False
3,approximateEntropy,6,0.5025,0.45999999999999996,-0.05749999999999997,-14.53645364536453,1,4,1,5,6,0.6666666666666666,-0.8666666666666667,1.0,0.125,0.7291666666666666,False
4,sampleEntropy,6,0.39749999999999996,0.3225,-0.0475,-16.27536231884058,1,4,1,5,6,0.6666666666666666,-0.8666666666666667,1.0,0.125,0.7291666666666666,False
5,detrendedFluctuation,6,0.505,0.49,-0.034999999999999976,-6.63265306122449,0,4,2,4,6,0.6666666666666666,-1.0,0.0,0.125,0.7291666666666666,False
6,fd_mean,6,9.05,7.8825,-0.30000000000000027,-4.860165385789567,2,4,0,6,6,0.6666666666666666,-0.7142857142857143,3.0,0.15625,0.78125,False
7,skewness,6,-0.5125,-0.385,0.042499999999999996,15.985202492211837,4,2,0,6,6,0.6666666666666666,0.14285714285714285,9.0,0.84375,1.0,False
8,permutationEntropy,6,2.24,2.285,0.030000000000000027,1.3797692990239587,4,2,0,6,6,0.6666666666666666,-0.047619047619047616,10.0,1.0,1.0,False
9,hjorthComplexity,6,1.865,1.825,-0.04999999999999993,-2.848552627313685,2,4,0,6,6,0.6666666666666666,-0.3333333333333333,7.0,0.5625,1.0,False
10,fd_median,6,3.9825,3.1500000000000004,-0.20999999999999996,-12.32955076118427,2,4,0,6,6,0.6666666666666666,-0.3333333333333333,7.0,0.5625,1.0,False
11,minimum,6,-0.595,-0.6,0.0050000000000000044,0.4098360655737709,3,2,1,5,6,0.5,0.2,6.0,0.8125,1.0,False
12,standardDeviation,6,0.175,0.19,0.010000000000000009,1.7241379310344844,3,2,1,5,6,0.5,0.6,3.0,0.3125,1.0,False
13,variance,6,0.03,0.035,0.004999999999999999,2.9411764705882297,3,1,2,4,6,0.5,0.6,2.0,0.375,1.0,False
14,numberOfZeroCrossing,6,1446.75,1419.5,0.75,-1.6201198129353631,3,3,0,6,6,0.5,-0.14285714285714285,9.0,0.84375,1.0,False
15,positiveToNegativeSampleRatio,6,1.08,0.94,-0.04249999999999998,-3.904538341158057,3,3,0,6,6,0.5,-0.047619047619047616,10.0,1.0,1.0,False
16,meanAbsoluteValue,6,0.125,0.13,0.0049999999999999975,2.1276595744680873,3,2,1,5,6,0.5,0.4,4.5,0.5,1.0,False
17,singularValueDecompositionEntropy,6,1.18,1.15,0.0,-0.07426516572858038,3,3,0,6,6,0.5,-0.047619047619047616,10.0,1.0,1.0,False
18,renyiEntropy,6,-8.7975,-9.0325,-0.022499999999999964,-0.14518814518814474,3,3,0,6,6,0.5,-0.14285714285714285,9.0,0.84375,1.0,False
19,hjorthMobility,6,0.515,0.485,0.0050000000000000044,0.9090909090909098,3,2,1,5,6,0.5,0.06666666666666667,7.0,1.0,1.0,False
20,katzFd,6,3.5125,3.45,-0.00749999999999984,-0.21428571428570972,2,3,1,5,6,0.5,-0.4,4.5,0.5,1.0,False
21,higuchiFd,6,1.42,1.3650000000000002,-0.007500000000000062,-0.7109004739336551,2,3,1,5,6,0.5,-0.6,3.0,0.3125,1.0,False
22,fd_maximum,6,447.365,533.0275,63.92500000000001,6.552206234268787,3,3,0,6,6,0.5,0.23809523809523808,8.0,0.6875,1.0,False
23,fd_standardDeviation,6,19.8975,21.740000000000002,1.2550000000000008,1.1262816809586684,3,3,0,6,6,0.5,0.42857142857142855,6.0,0.4375,1.0,False
24,fd_variance,6,408.8775,472.8025,43.647500000000036,2.37532956362433,3,3,0,6,6,0.5,0.42857142857142855,6.0,0.4375,1.0,False
25,fd_kurtosis,6,228.885,172.24,3.8399999999999928,-5.3372754131366325,3,3,0,6,6,0.5,0.14285714285714285,9.0,0.84375,1.0,False
26,fd_skewness,6,11.555,9.985,0.6974999999999996,4.4764744745176,3,3,0,6,6,0.5,0.14285714285714285,9.0,0.84375,1.0,False
27,spectralEntropy,6,4.835,4.595000000000001,-0.054999999999999716,-1.2974630726863,3,3,0,6,6,0.5,-0.42857142857142855,6.0,0.4375,1.0,False
28,fd_bandPower,6,0.03,0.035,0.004999999999999999,2.9411764705882297,3,1,2,4,6,0.5,0.6,2.0,0.375,1.0,False
29,lempelZivComplexity,6,2.0,2.0,0.0,0.0,2,0,4,2,6,0.3333333333333333,1.0,0.0,0.5,1.0,False
30,fisherInfo,6,0.515,0.5,0.0,0.0,2,2,2,4,6,0.3333333333333333,0.0,5.0,1.0,1.0,False
31,petrosianFd,6,1.01,1.01,0.0,0.0,1,1,4,2,6,0.16666666666666666,0.3333333333333333,1.0,1.0,1.0,False
32,fd_minimum,6,0.01,0.01,0.0,0.0,1,1,4,2,6,0.16666666666666666,-0.3333333333333333,1.0,1.0,1.0,False
33,mean,6,0.0,0.0,0.0,,0,0,6,0,0,0.0,,0.0,1.0,1.0,False
34,shannonEntropy,6,13.87,13.87,0.0,0.0,0,0,6,0,6,0.0,,0.0,1.0,1.0,False
