feature,beta_condition_std,se,ci_low,ci_high,p_value,converged,warning,p_fdr_bh,significant_fdr
approximateEntropy,-0.6319916603728081,0.06619241447427397,-0.7617264087921328,-0.5022569119534833,1.3248490070396858e-21,True,Random effects covariance is singular,4.6369715246389004e-20,True
sampleEntropy,-0.4564734091967124,0.0506365186491326,-0.5557191620515031,-0.3572276563419217,1.9739635236055447e-19,True,,3.4544361663097033e-18,True
median,-0.242357604789123,0.0393433700739586,-0.31946919316451283,-0.16524601641373318,7.27164009029273e-10,True,,8.483580105341519e-09,True
higuchiFd,-0.19583195888536103,0.036125285586897024,-0.26663621756690314,-0.12502770020381895,5.9296069442773155e-08,True,,5.188406076242651e-07,True
fd_standardDeviation,0.1731110705181059,0.03280356838039457,0.10881725792813564,0.23740488310807617,1.3117096710094077e-07,True,,9.181967697065854e-07,True
standardDeviation,0.1668168048306445,0.03280493697281651,0.10252030984881773,0.2311132998124713,3.674076498454881e-07,True,,2.1432112907653474e-06,True
variance,0.16220364098006265,0.033141196771422764,0.09724808890351892,0.22715919305660637,9.864593173324809e-07,True,,4.498925400273128e-06,True
lempelZivComplexity,0.20765671045159748,0.042702362952419484,0.1239616170100978,0.29135180389309717,1.1568665314988043e-06,True,,4.498925400273128e-06,True
fd_variance,0.16290614255111532,0.0334264292339933,0.09739154512071167,0.22842073998151896,1.0959775054550352e-06,True,,4.498925400273128e-06,True
detrendedFluctuation,-0.24690405639618454,0.051174822476946775,-0.3472048653662311,-0.146603247426138,1.4020191652185206e-06,True,,4.800521643150637e-06,True
fd_bandPower,0.15944679682215585,0.03314850409079624,0.09447692266281656,0.22441667098149515,1.5087353735616287e-06,True,,4.800521643150637e-06,True
meanAbsoluteValue,0.15336042072706987,0.03424673736925744,0.08623804889532329,0.22048279255881648,7.530923095023702e-06,True,,2.1965192360485797e-05,True
singularValueDecompositionEntropy,-0.1359842168842658,0.03137412236796093,-0.19747636677202174,-0.07449206699650984,1.462382504447991e-05,True,,3.937183665821514e-05,True
numberOfZeroCrossing,-0.25710470411227704,0.059868552692470135,-0.374444911196057,-0.13976449702849708,1.750979663845427e-05,True,,4.377449159613568e-05,True
fisherInfo,-0.1141024797548208,0.030555446910156943,-0.17399005523025407,-0.054214904279387514,0.00018825576957680546,True,,0.0004392634623458794,True
fd_maximum,0.14274967153192514,0.0415106633527337,0.06139026638620039,0.2241090766776499,0.0005841530467105747,True,,0.001277834789679382,True
hjorthMobility,-0.09637962894648698,0.03444462826648986,-0.1638898598096774,-0.02886939808329654,0.005140366561642244,True,,0.010583107626910504,True
spectralEntropy,-0.10345546768144727,0.03752192430726599,-0.17699708795432662,-0.02991384740856791,0.005829859604524492,True,,0.011335838119908735,True
permutationEntropy,-0.1029698909165808,0.04960837496042656,-0.2002005191705755,-0.00573926266258612,0.03792583451526679,True,,0.06986337937022831,False
petrosianFd,0.16525864202253665,0.08275676015952611,0.0030583726326462446,0.32745891141242706,0.04583385774484643,True,Random effects covariance is singular,0.08020925105348126,False
maximum,-0.1332974733975275,0.06798487103162511,-0.26654537211311313,-4.9574681941860765e-05,0.04991482440313015,True,,0.08319137400521692,False
renyiEntropy,-0.18026372078152675,0.09477726729328623,-0.36602375122949377,0.005496309666440269,0.05717479847102886,True,Random effects covariance is singular,0.0870051281080874,False
fd_skewness,0.11152418208753363,0.058451201515742804,-0.0030380677364152814,0.22608643191148253,0.05639278714838611,True,,0.0870051281080874,False
positiveToNegativeSampleRatio,0.06707710338712915,0.040057664386348626,-0.01143447611490693,0.1455886828891652,0.09402970585467724,True,,0.1371266543714043,False
hjorthComplexity,0.0492293500558754,0.033938941932509,-0.017289753805238457,0.11574845391698926,0.14691162842357547,True,,0.20567627979300565,False
kurtosis,-0.11963485011806882,0.09909065063274165,-0.3138489565628836,0.07457925632674595,0.2273061115951921,True,Random effects covariance is singular | The MLE may be on the boundary of the parameter space.,0.3003465439191031,False
fd_kurtosis,0.08190456587580539,0.06848198256560459,-0.052317653542679504,0.21612678529429027,0.2316959053090224,True,Random effects covariance is singular,0.3003465439191031,False
fd_median,-0.06848779731688905,0.058511371009922444,-0.18316797718239805,0.04619238254861996,0.2417981813007427,True,,0.30224772662592836,False
shannonEntropy,-3.4378383228668085e-18,5.219894876280774e-18,-1.3668644283462286e-17,6.7929676377286696e-18,0.5101507485308103,False,"Maximum Likelihood optimization failed to converge. Check mle_retvals | MixedLM optimization failed, trying a different optimizer may help. | Gradient optimization failed, |grad| = 185.231196 | The MLE may be on the boundary of the parameter space.",0.6156991792613228,False
katzFd,-0.05054377494936555,0.08704083922092437,-0.22114068500651868,0.12005313510778759,0.5614491700999598,True,Random effects covariance is singular,0.6550240317832864,False
fd_minimum,0.026703811342813428,0.09162020391073428,-0.15286848857844157,0.20627611126406845,0.7706979735003778,True,Random effects covariance is singular,0.8531325205653082,False
fd_mean,0.012555163146066578,0.04495062770113313,-0.07554644823062284,0.10065677452275601,0.7800068759454246,True,,0.8531325205653082,False
skewness,-0.015297154789030229,0.07545427100855862,-0.16318480844552988,0.1325904988674694,0.8393428576193374,True,Random effects covariance is singular,0.890212121717479,False
minimum,0.003404862428610724,0.037343952903740076,-0.06978794030307979,0.07659766516030124,0.9273529537049098,True,,0.9546280405785836,False
mean,,,,,,False,constant_or_invalid_feature,1.0,False
