feature,n_missing,pct_missing,n_unique_nonmissing,dtype
QRS_mean,5,0.3968253968253968,1232,float64
QRS_std,5,0.3968253968253968,1250,float64
HRV_MeanNN,1,0.07936507936507936,1202,float64
HRV_RMSSD,1,0.07936507936507936,1258,float64
HRV_SDNN,1,0.07936507936507936,1259,float64
HRV_pNN50,1,0.07936507936507936,1118,float64
R_amp_mean,1,0.07936507936507936,1259,float64
R_amp_std,1,0.07936507936507936,1259,float64
signal_energy,1,0.07936507936507936,1259,float64
approximateEntropy,0,0.0,106,float64
detrendedFluctuation,0,0.0,61,float64
distributionEntropy,0,0.0,39,float64
entropyProfiled_average_sampleEntropy,0,0.0,13,float64
entropyProfiled_kurtosis_sampleEntropy,0,0.0,1222,float64
entropyProfiled_maximum_sampleEntropy,0,0.0,392,float64
entropyProfiled_median_sampleEntropy,0,0.0,5,float64
entropyProfiled_minimum_sampleEntropy,0,0.0,1,int64
entropyProfiled_skewness_sampleEntropy,0,0.0,720,float64
entropyProfiled_standardDeviation_sampleEntropy,0,0.0,37,float64
entropyProfiled_total_sampleEntropy,0,0.0,1180,float64
entropyProfiled_variance_sampleEntropy,0,0.0,16,float64
fd_bandPower,0,0.0,9,float64
fd_kurtosis,0,0.0,1232,float64
fd_maximum,0,0.0,1254,float64
fd_mean,0,0.0,823,float64
fd_median,0,0.0,482,float64
fd_minimum,0,0.0,14,float64
fd_skewness,0,0.0,922,float64
fd_standardDeviation,0,0.0,1005,float64
fd_variance,0,0.0,1251,float64
fisherInfo,0,0.0,37,float64
fuzzyEntropy,0,0.0,76,float64
higuchiFd,0,0.0,63,float64
hjorthComplexity,0,0.0,258,float64
hjorthMobility,0,0.0,67,float64
katzFd,0,0.0,190,float64
kurtosis,0,0.0,843,float64
lempelZivComplexity,0,0.0,118,int64
maximum,0,0.0,143,float64
mean,0,0.0,1,int64
meanAbsoluteValue,0,0.0,29,float64
median,0,0.0,16,float64
minimum,0,0.0,159,float64
numberOfZeroCrossing,0,0.0,865,int64
permutationEntropy,0,0.0,83,float64
petrosianFd,0,0.0,3,float64
positiveToNegativePeakRatio,0,0.0,1,int64
positiveToNegativeSampleRatio,0,0.0,296,float64
renyiEntropy,0,0.0,419,float64
sampleEntropy,0,0.0,96,float64
shannonEntropy,0,0.0,1,float64
singularValueDecompositionEntropy,0,0.0,77,float64
skewness,0,0.0,536,float64
spectralEntropy,0,0.0,258,float64
standardDeviation,0,0.0,40,float64
variance,0,0.0,20,float64
