feature,episode_group,n_patients,median_of_patient_medians,q1_patient_medians,q3_patient_medians,iqr_patient_medians,min_patient_median,max_patient_median,PreHI_reference_median_of_patient_medians,difference_vs_PreHI_reference,percent_difference_vs_PreHI_reference,direction_vs_PreHI_reference
QRS_mean,PreHI,20,0.13447805224999998,0.129280516875,0.169678542,0.04039802512499999,0.103049666,0.2028098645,0.13447805224999998,0.0,0.0,same_as_PreHI
QRS_mean,Continuous_HI,8,0.19515342925,0.15254872175,0.20012945275,0.04758073099999999,0.1222858385,0.2102813295,0.13447805224999998,0.06067537700000003,45.119167020059244,higher_than_PreHI
QRS_mean,Early_fragmented_HI,11,0.147397849,0.131874096,0.19019219425,0.058318098250000006,0.120156863,0.2757884615,0.13447805224999998,0.012919796750000018,9.607364572756904,higher_than_PreHI
QRS_mean,Later_fragmented_HI,12,0.14027176425,0.134909209,0.162737095125,0.027827886125000006,0.112069869,0.205845436,0.13447805224999998,0.005793712000000006,4.308295594012076,higher_than_PreHI
entropyProfiled_maximum_sampleEntropy,PreHI,20,2.3825000000000003,1.725,3.2175000000000002,1.4925000000000002,1.01,4.54,2.3825000000000003,0.0,0.0,same_as_PreHI
entropyProfiled_maximum_sampleEntropy,Continuous_HI,8,2.0425,1.7225,2.88125,1.1587500000000002,0.765,3.965,2.3825000000000003,-0.3400000000000003,-14.270724029380913,lower_than_PreHI
entropyProfiled_maximum_sampleEntropy,Early_fragmented_HI,11,2.57,1.76,3.095,1.3350000000000002,0.72,4.68,2.3825000000000003,0.18749999999999956,7.869884575026214,higher_than_PreHI
entropyProfiled_maximum_sampleEntropy,Later_fragmented_HI,12,2.395,1.71625,2.615,0.8987500000000002,0.815,4.01,2.3825000000000003,0.012499999999999734,0.5246589716684043,higher_than_PreHI
fd_mean,PreHI,20,7.952500000000001,6.59,10.145000000000001,3.5550000000000015,1.8,16.65,7.952500000000001,0.0,0.0,same_as_PreHI
fd_mean,Continuous_HI,8,6.7675,5.5825000000000005,8.99375,3.41125,1.95,15.809999999999999,7.952500000000001,-1.1850000000000005,-14.900974536309343,lower_than_PreHI
fd_mean,Early_fragmented_HI,11,7.51,6.029999999999999,8.3825,2.352500000000001,3.455,17.82,7.952500000000001,-0.4425000000000008,-5.564287959761091,lower_than_PreHI
fd_mean,Later_fragmented_HI,12,6.9475,5.345,8.32625,2.98125,3.27,16.74,7.952500000000001,-1.0050000000000008,-12.637535366237042,lower_than_PreHI
fuzzyEntropy,PreHI,20,0.22999999999999998,0.1875,0.34,0.15250000000000002,0.165,0.71,0.22999999999999998,0.0,0.0,same_as_PreHI
fuzzyEntropy,Continuous_HI,8,0.22499999999999998,0.1675,0.28750000000000003,0.12000000000000002,0.14,0.485,0.22999999999999998,-0.0050000000000000044,-2.173913043478263,lower_than_PreHI
fuzzyEntropy,Early_fragmented_HI,11,0.26,0.20500000000000002,0.315,0.10999999999999999,0.08,0.81,0.22999999999999998,0.030000000000000027,13.043478260869577,higher_than_PreHI
fuzzyEntropy,Later_fragmented_HI,12,0.235,0.1875,0.25375000000000003,0.06625000000000003,0.09,0.34,0.22999999999999998,0.0050000000000000044,2.173913043478263,higher_than_PreHI
kurtosis,PreHI,20,5.98,2.25,8.15625,5.90625,-0.275,13.73,5.98,0.0,0.0,same_as_PreHI
kurtosis,Continuous_HI,8,1.3125,0.1875,3.3525,3.165,-0.48,10.245000000000001,5.98,-4.6675,-78.05183946488295,lower_than_PreHI
kurtosis,Early_fragmented_HI,11,7.46,4.33,8.8125,4.4825,0.565,33.55,5.98,1.4799999999999995,24.74916387959865,higher_than_PreHI
kurtosis,Later_fragmented_HI,12,8.795,5.515000000000001,14.8125,9.2975,1.38,32.73,5.98,2.8149999999999995,47.07357859531771,higher_than_PreHI
