feature,model_type,formula,n_segments,n_patients,beta_Class,se_Class,ci_low_Class,ci_high_Class,p_value_Class,converged,warning,lmm_global_bh_fdr_p_value,lmm_global_bh_fdr_significant,absolute_beta_Class,paired_median_difference,paired_dominant_direction,paired_wilcoxon_p_value,paired_global_bh_fdr_p_value,paired_family_bh_fdr_p_value,paired_rank_biserial_effect_size,paired_direction_consistency,paired_direction_from_median_difference,lmm_direction_from_beta,lmm_agrees_with_paired_direction
QRS_mean,main,z__QRS_mean ~ Class,1255,20,0.4881475230324718,0.032791707121195675,0.42387695808334264,0.552418087981601,4.0448454806340205e-50,True,,2.1033196499296905e-48,True,0.4881475230324718,0.01035768875000001,increased_during_HI,0.023950576782226562,0.4330064047960739,0.11975288391113281,0.5714285714285714,0.6,increased_during_HI,increased_during_HI,True
approximateEntropy,main,z__approximateEntropy ~ Class,1260,20,-0.40431912554869226,0.034968100656359746,-0.4728553434429288,-0.33578290765445573,6.381336550856579e-31,True,,1.6591475032227104e-29,True,0.40431912554869226,-0.03249999999999997,decreased_during_HI,0.09348671117483734,0.45281255008419846,0.2492978964662329,-0.4502923976608187,0.55,decreased_during_HI,decreased_during_HI,True
sampleEntropy,main,z__sampleEntropy ~ Class,1260,20,-0.36368899245396114,0.033089420442132374,-0.42854306478984405,-0.2988349201180782,4.217735481673714e-28,True,,7.31074150156777e-27,True,0.36368899245396114,-0.03499999999999999,decreased_during_HI,0.06406852503128298,0.4330064047960739,0.2492978964662329,-0.4842105263157895,0.65,decreased_during_HI,decreased_during_HI,True
HRV_pNN50,main,z__HRV_pNN50 ~ Class,1259,20,-0.37982660525907186,0.03480495227757048,-0.44804305820674534,-0.3116101523113984,9.989891259705976e-28,True,,1.2986858637617767e-26,True,0.37982660525907186,-11.345795360000002,decreased_during_HI,0.026641845703125,0.4330064047960739,0.1063385009765625,-0.5619047619047619,0.65,decreased_during_HI,decreased_during_HI,True
fuzzyEntropy,main,z__fuzzyEntropy ~ Class,1260,20,-0.3553121960292917,0.033206239015609595,-0.4203952285619153,-0.2902291634966681,1.0159848056247969e-26,True,,1.0566241978497887e-25,True,0.3553121960292917,-0.01999999999999999,decreased_during_HI,0.06399596863607887,0.4330064047960739,0.2492978964662329,-0.49707602339181284,0.65,decreased_during_HI,decreased_during_HI,True
entropyProfiled_maximum_sampleEntropy,main,z__entropyProfiled_maximum_sampleEntropy ~ Class,1260,20,-0.26228006954593724,0.03129039599966044,-0.3236081187672679,-0.2009520203246066,5.197975533972333e-17,True,,4.504912129442688e-16,True,0.26228006954593724,-0.25500000000000017,decreased_during_HI,0.034669963150986444,0.4330064047960739,0.27735970520789155,-0.5672514619883041,0.65,decreased_during_HI,decreased_during_HI,True
singularValueDecompositionEntropy,main,z__singularValueDecompositionEntropy ~ Class,1260,20,-0.18564956488198472,0.02271786807199108,-0.23017576810861964,-0.1411233616553498,3.034129733376685e-16,True,,2.253924944794109e-15,True,0.18564956488198472,0.0,tied,0.46638844581066563,0.9077031086770774,0.7616535887078874,-0.18571428571428572,0.5,no_change,decreased_during_HI,False
entropyProfiled_variance_sampleEntropy,main,z__entropyProfiled_variance_sampleEntropy ~ Class,1260,20,-0.3189084237587846,0.03966314834371219,-0.39664676602592996,-0.2411700814916392,8.953009864831421e-16,True,,5.819456412140423e-15,True,0.3189084237587846,0.0,decreased_during_HI,0.1682533168062098,0.6203346117998263,0.3365066336124196,-0.4909090909090909,0.4,no_change,decreased_during_HI,False
entropyProfiled_standardDeviation_sampleEntropy,main,z__entropyProfiled_standardDeviation_sampleEntropy ~ Class,1260,20,-0.28541405227678457,0.0362159210310761,-0.35639595316464046,-0.2144321513889287,3.250313449110302e-15,True,,1.8779588817081746e-14,True,0.28541405227678457,-0.015,decreased_during_HI,0.0957872702101189,0.45281255008419846,0.3365066336124196,-0.5047619047619047,0.55,decreased_during_HI,decreased_during_HI,True
fd_mean,main,z__fd_mean ~ Class,1260,20,-0.21003104280320284,0.027194813351376145,-0.2633318975381891,-0.1567301880682166,1.134429828815194e-14,True,,5.899035109839008e-14,True,0.21003104280320284,-0.36500000000000044,decreased_during_HI,0.11398696899414062,0.4939435323079427,0.3419609069824219,-0.4095238095238095,0.65,decreased_during_HI,decreased_during_HI,True
entropyProfiled_total_sampleEntropy,main,z__entropyProfiled_total_sampleEntropy ~ Class,1260,20,-0.20084392965254863,0.027166867491850738,-0.25409001150934807,-0.1475978477957492,1.4358117209457637e-13,True,,6.787473589925429e-13,True,0.20084392965254863,-3.2475000000000023,decreased_during_HI,0.14290618896484375,0.571624755859375,0.3365066336124196,-0.38095238095238093,0.55,decreased_during_HI,decreased_during_HI,True
fd_median,main,z__fd_median ~ Class,1260,20,-0.2194916753262454,0.03165789545090084,-0.28154001023634545,-0.15744334041614533,4.11319781382412e-12,True,,1.782385719323785e-11,True,0.2194916753262454,-0.16249999999999998,decreased_during_HI,0.08969497680664062,0.45281255008419846,0.3419609069824219,-0.4380952380952381,0.65,decreased_during_HI,decreased_during_HI,True
fisherInfo,main,z__fisherInfo ~ Class,1260,20,-0.1607854944116539,0.023271601546449996,-0.2063969953052625,-0.11517399351804529,4.877864978102085e-12,True,,1.951145991240834e-11,True,0.1607854944116539,0.0,tied,0.4985342407499642,0.9077031086770774,0.7642383976586055,-0.18128654970760233,0.45,no_change,decreased_during_HI,False
higuchiFd,main,z__higuchiFd ~ Class,1260,20,-0.17078506584221662,0.025238769698298125,-0.22025214546498179,-0.12131798621945145,1.3168497938350591e-11,True,,4.8911563771016483e-11,True,0.17078506584221662,-0.0025000000000000577,decreased_during_HI,0.25722224868542654,0.6687778465821089,0.7642383976586055,-0.30409356725146197,0.5,decreased_during_HI,decreased_during_HI,True
hjorthMobility,main,z__hjorthMobility ~ Class,1260,20,-0.13592171589614577,0.024658536533564257,-0.18425155941339685,-0.08759187237889468,3.544632332946804e-08,True,,1.228805875421559e-07,True,0.13592171589614577,0.0050000000000000044,increased_during_HI,0.5062190413776009,0.9077031086770774,0.7642383976586055,-0.1736842105263158,0.5,increased_during_HI,decreased_during_HI,False
minimum,main,z__minimum ~ Class,1260,20,0.16554160158080855,0.03408292848929506,0.09874028925413608,0.23234291390748102,1.1916315704503337e-06,True,,3.8728026039635845e-06,True,0.16554160158080855,0.0050000000000000044,increased_during_HI,0.6723162484711958,0.9626522350658362,0.9256271491017656,0.11052631578947368,0.5,increased_during_HI,increased_during_HI,True
maximum,main,z__maximum ~ Class,1260,20,-0.19723404971482744,0.043462559351745346,-0.28241910072018284,-0.11204899870947205,5.678434253361295e-06,True,Random effects covariance is singular,1.7369328304399257e-05,True,0.19723404971482744,-0.012499999999999983,decreased_during_HI,0.2511340120662142,0.6687778465821089,0.8371133735540475,-0.3,0.6,decreased_during_HI,decreased_during_HI,True
spectralEntropy,main,z__spectralEntropy ~ Class,1260,20,-0.11851715883001229,0.02705215149429244,-0.1715384014631469,-0.0654959161968777,1.1810213823433655e-05,True,,3.411839548991945e-05,True,0.11851715883001229,-0.050000000000000266,tied,0.3410214366810602,0.8060506685188696,0.3410214366810602,-0.24285714285714285,0.5,decreased_during_HI,decreased_during_HI,True
lempelZivComplexity,main,z__lempelZivComplexity ~ Class,1260,20,-0.1429316759465777,0.034751471355995336,-0.2110433082141039,-0.07482004367905154,3.906052140555931e-05,True,,0.00010690247963626758,True,0.1429316759465777,0.0,decreased_during_HI,0.4760334929424296,0.9077031086770774,0.7616535887078874,-0.24242424242424243,0.3,no_change,decreased_during_HI,False
R_amp_mean,main,z__R_amp_mean ~ Class,1259,20,-0.09994372942138374,0.024680141649886935,-0.1483159181885091,-0.0515715406542584,5.1313887484547963e-05,True,,0.0001334161074598247,True,0.09994372942138374,-0.18839682025000015,decreased_during_HI,0.3117942810058594,0.7720620291573661,0.5196571350097656,-0.26666666666666666,0.6,decreased_during_HI,decreased_during_HI,True
katzFd,main,z__katzFd ~ Class,1260,20,-0.15891891205420317,0.04344938604317804,-0.2440781438492094,-0.07375968025919692,0.0002546236516078358,True,Random effects covariance is singular,0.0006304966611241649,True,0.15891891205420317,-0.05249999999999977,decreased_during_HI,0.19087218824610042,0.6203346117998263,0.7642383976586055,-0.34210526315789475,0.6,decreased_during_HI,decreased_during_HI,True
fd_maximum,main,z__fd_maximum ~ Class,1260,20,0.09155385770650928,0.02566696162263191,0.04124753733357899,0.14186017807943957,0.0003611019132130996,True,,0.0008230112239684746,True,0.09155385770650928,-5.707499999999982,tied,0.8694877624511719,0.9626522350658362,1.0,0.047619047619047616,0.5,decreased_during_HI,increased_during_HI,False
fd_skewness,main,z__fd_skewness ~ Class,1260,20,0.12977951060315807,0.03640502621540947,0.058426970364719,0.20113205084159713,0.0003640241952168253,True,,0.0008230112239684746,True,0.12977951060315807,0.022500000000000187,tied,0.8983173370361328,0.9626522350658362,1.0,0.0380952380952381,0.5,increased_during_HI,increased_during_HI,True
entropyProfiled_median_sampleEntropy,main,z__entropyProfiled_median_sampleEntropy ~ Class,1260,20,0.16530021086112748,0.04679065994062621,0.07359220256463905,0.2570082191576159,0.00041124432421890434,True,Random effects covariance is singular,0.0008910293691409593,True,0.16530021086112748,0.0,increased_during_HI,0.4973466588212234,0.9077031086770774,0.5683961815099696,0.22727272727272727,0.35,no_change,increased_during_HI,False
numberOfZeroCrossing,main,z__numberOfZeroCrossing ~ Class,1260,20,-0.1259054906682131,0.03702939278079731,-0.19848176688796332,-0.05332921444846289,0.0006734889063326403,True,,0.0014008569251718918,True,0.1259054906682131,-53.75,decreased_during_HI,0.24548721313476562,0.6687778465821089,0.8371133735540475,-0.3047619047619048,0.6,decreased_during_HI,decreased_during_HI,True
hjorthComplexity,main,z__hjorthComplexity ~ Class,1260,20,0.07805438995692401,0.025019802698576486,0.029016477767416046,0.12709230214643197,0.001810325768738817,True,,0.003620651537477634,True,0.07805438995692401,-0.04749999999999999,decreased_during_HI,0.5458845697561467,0.9313364892972296,0.7642383976586055,-0.15789473684210525,0.6,decreased_during_HI,increased_during_HI,False
fd_minimum,main,z__fd_minimum ~ Class,1260,20,-0.15262295382785301,0.05084477764999867,-0.25227688682379745,-0.05296902083190855,0.0026843872418903084,True,Random effects covariance is singular,0.005169930984381335,True,0.15262295382785301,0.0,decreased_during_HI,0.06661636996862676,0.4330064047960739,0.3419609069824219,-0.6666666666666666,0.35,no_change,decreased_during_HI,False
HRV_MeanNN,main,z__HRV_MeanNN ~ Class,1259,20,0.15256919182500958,0.0510989038562448,0.05241718061729489,0.2527212030327243,0.002828722258428909,True,Random effects covariance is singular,0.00525334133708226,True,0.15256919182500958,20.759493749999933,increased_during_HI,0.05316925048828125,0.4330064047960739,0.1063385009765625,0.49523809523809526,0.75,increased_during_HI,increased_during_HI,True
