,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_pNN50,R_amp_mean,R_amp_std,QRS_mean,QRS_std,signal_energy,maximum,minimum,median,standardDeviation,variance,kurtosis,skewness,numberOfZeroCrossing,positiveToNegativeSampleRatio,meanAbsoluteValue,approximateEntropy,sampleEntropy,permutationEntropy,singularValueDecompositionEntropy,fuzzyEntropy,distributionEntropy,renyiEntropy,lempelZivComplexity,hjorthMobility,hjorthComplexity,fisherInfo,petrosianFd,katzFd,higuchiFd,detrendedFluctuation,entropyProfiled_total_sampleEntropy,entropyProfiled_average_sampleEntropy,entropyProfiled_maximum_sampleEntropy,entropyProfiled_median_sampleEntropy,entropyProfiled_standardDeviation_sampleEntropy,entropyProfiled_variance_sampleEntropy,entropyProfiled_kurtosis_sampleEntropy,entropyProfiled_skewness_sampleEntropy,fd_maximum,fd_minimum,fd_mean,fd_median,fd_standardDeviation,fd_variance,fd_kurtosis,fd_skewness,spectralEntropy,fd_bandPower
HRV_MeanNN,1.0,0.44785538739016534,0.4229513573639996,-0.14005261207510886,-0.34895995066015695,0.20390384457203334,0.28334311220272984,0.08153518077896456,-0.013690759457895567,-0.07898713085600115,0.13258739282362533,-0.11778452424664687,-0.3243808808272131,-0.33026404327503867,0.43655909168595525,0.1057648366681782,-0.0927723154407635,-0.14541980771874502,-0.3233114495958508,-0.19929612392785906,-0.23278848552555467,0.26582394038000967,-0.0339882660775997,-0.28572620442172897,-0.34404298901722896,0.36278549234396545,-0.19012646145260548,0.015294270970044507,0.06486619235383342,-0.03966451205221195,0.24602469553436782,-0.2597625419232073,0.13588412566563693,0.10294634660790607,-0.3980336914078827,-0.3060022922428196,-0.18850488360510625,-0.16681045431503824,-0.2679187128561418,-0.22429522640156052,0.25881677761599686,0.3137865901019213,-0.1485634181878609,-0.024111299480789092,-0.21937646932323887,-0.07219216431866164,-0.34888449676624894,-0.3483546723562973,-0.04395300685287393,-0.029261724613630705,0.21122283908207298,-0.09473104963686065
HRV_SDNN,0.44785538739016534,1.0,0.9524460885973268,0.2465550676617973,-0.18934208034801409,0.3924738055280503,0.0771452438501767,0.18569578374341528,0.0924924764573412,0.2688496253147392,-0.1152453457685695,-0.08223046210187723,-0.18879848091183066,-0.1893641163006207,0.33031077268325,0.038692492728141764,-0.00923626458185143,-0.13368246573411718,-0.19358247832934938,0.1925978336578052,0.13078905441241437,0.05586079298284248,-0.016735458899039695,0.09976347164240909,-0.36476966359980234,0.17371012278541514,0.020018299979665696,-0.021669424246495313,0.15616987680928854,-0.04647960598476557,0.006485505462436178,-0.27237128704386204,0.07919198883212726,0.23735602716210788,-0.10836506413027731,-0.21866660185474449,-0.018417877617427622,-0.35211082126596543,-0.08026610707050358,-0.04414208655174085,0.12113216211143692,0.15354599075388972,-0.22209436327064164,0.08289063161904767,0.1374777469769548,0.24471108603213307,-0.2555126679329381,-0.26270929452321584,-0.1637929157048163,-0.1712183120399177,0.12635389230179925,-0.1393498806239337
HRV_RMSSD,0.4229513573639996,0.9524460885973268,1.0,0.3503060831666404,-0.19529369641660324,0.43298444316672013,0.043492386247509576,0.19241557257566913,0.07779807338528794,0.2774088416794872,-0.12180782741446462,-0.09292608499082806,-0.18240332842014315,-0.1815862589982393,0.29479994946161747,0.02346811311984474,-0.02715389422485337,-0.14953868060287362,-0.19385381374687774,0.18005254537856977,0.12382315332660986,0.029579291930154242,-0.022435138193607464,0.09185690604212424,-0.3508831292217055,0.15239374242291517,0.03825366534953193,-0.02486836347904305,0.1282448027576108,-0.051350330724118994,-0.01853186996667572,-0.2690496792003135,0.06064375416558944,0.2391743332823728,-0.11089112386033972,-0.23259944424017867,-0.017630252372653196,-0.3579179749734169,-0.07992635584920815,-0.04891959994914216,0.12244559754521835,0.1592181729629292,-0.212108224559711,0.06558765702664791,0.13383956715607276,0.23132875912894632,-0.24550611591719984,-0.2547349649987871,-0.17101746831129838,-0.17201191425173853,0.12042464755762194,-0.12657226539833055
HRV_pNN50,-0.14005261207510886,0.2465550676617973,0.3503060831666404,1.0,0.1601041892106216,0.4185095047857864,-0.2185941869932657,0.21896614348750715,-0.11515043355309029,0.17476944513216866,-0.12444481900636205,-0.015414218122475716,0.0034162946686993553,0.033201870562411494,-0.12692932703918172,0.04192491663472928,0.029468761555366964,-0.057757947219483595,-0.0014794796188890315,0.23395037300561342,0.17344756715110482,0.049673846392446784,0.08611494659233128,0.14974231523089768,-0.01137662232560735,-0.023898642872889536,0.18748104058264237,0.05309682139739823,-0.0207143523373948,0.05740453422534012,-0.01813105845727272,-0.00015758176109419782,0.10670511598028752,0.0474602266863534,0.1290309257565986,-0.021428414230950113,0.22258893096553053,-0.19222481565938296,0.1950657524240558,0.1804117208589701,0.002858181432561905,0.019560263373807542,-0.18710908845423796,0.07009807505428009,0.31514693377075625,0.2679579286363049,-0.04800603384477932,-0.06921015719737036,-0.2404594108189894,-0.25934910575701037,0.1504896703219091,0.04097855099573948
R_amp_mean,-0.34895995066015695,-0.18934208034801409,-0.19529369641660324,0.1601041892106216,1.0,0.09270981689801482,-0.1561806171627886,-0.009149481056876182,-0.12396165129426821,0.03410110549337729,-0.015618200073363418,-0.10693003376243466,0.056155060925849765,0.10494038289611068,0.02777458849341147,0.09065131154138531,0.016919868110385847,-0.015101452596612597,-0.017005815998251808,0.03498314120520974,0.03762994670356087,-0.07131872239986717,0.2784939259518819,0.04427621128091303,0.015048960176128348,-0.08721636283303119,0.22017055731817117,0.2674251889490862,-0.35148994539960915,0.30392771922481193,-0.026898321166044015,0.09169735985898596,0.039589396126748916,-0.3829822293872196,0.0956257563446019,0.04186316267237852,-0.06787907659560939,0.1776664141600311,0.036771190496295396,-0.010510468546376757,-0.1747859433552982,-0.1740991304644961,-0.10073535214595626,-0.019456141674203595,0.19921425259732883,0.03507880479886691,0.05061717112549343,0.046468359498102865,-0.15790624820840068,-0.17242474311108696,0.19062813398476275,0.0015695043550260923
R_amp_std,0.20390384457203334,0.3924738055280503,0.43298444316672013,0.4185095047857864,0.09270981689801482,1.0,0.028867397572334575,0.2035967219342713,0.20279561838689064,0.35885835371471714,-0.09165014101560917,-0.3320085098652438,-0.03413534117039707,-0.03737760868305793,0.2445022963215981,0.2086130102346587,-0.05426724447966543,-0.26132449594936086,-0.16160694911263893,0.04887848532568042,-0.02949283755916161,-0.14575897036487123,-0.014319018292839538,-0.06097916955220111,-0.29004176378368374,0.02632618550022624,0.09903913273836448,-0.0033760656250955115,-0.0904009919020224,0.006926517154776795,-0.1081739396955212,-0.2218812848583955,-0.07618747756198277,0.042511189735541605,-0.07526142417490995,-0.30306192053503467,-0.10267214018419263,-0.25000874791127436,-0.1827226461233639,-0.17542277856013003,0.05015911540515364,0.07613049422593882,-0.29290335159251507,0.0059415880046060415,0.2804559296195242,0.16081219790117313,-0.09125606385129453,-0.11944816098748832,-0.3351299122154075,-0.32300629254427055,0.22649634736708701,-0.06196562534920533
QRS_mean,0.28334311220272984,0.0771452438501767,0.043492386247509576,-0.2185941869932657,-0.1561806171627886,0.028867397572334575,1.0,0.005248008337964832,0.22895045121271285,0.05119534711218858,0.11289105805204576,0.01628815748001,0.08559800666504538,0.0391356722484958,0.0857826991099015,0.10791822982334769,-0.0982793316695078,-0.05428479246886403,-0.0005170354500773001,-0.27950076063152235,-0.22633304207796506,-0.10723577845157113,-0.35733253527356557,-0.2486151753187161,-0.07765674830209575,-0.04062197748572089,-0.08593681097958362,-0.33702269434075305,0.10841488647106406,-0.3061434352424855,-0.026792520595625563,-0.18682412841234197,-0.3969126554475543,0.09178325414280261,-0.15497962244558783,-0.15562259976870613,-0.24878747669097775,-0.03338301937841437,-0.2893423098129456,-0.28260885844170525,0.13206254600252573,0.11596656435951376,0.09324824160330554,-0.06941121882857335,-0.1598261639963023,-0.23348098354356683,0.10515665347192042,0.09432351930793097,0.11088992819179534,0.1388164644938519,-0.1808680185208555,-0.050774454884325214
QRS_std,0.08153518077896456,0.18569578374341528,0.19241557257566913,0.21896614348750715,-0.009149481056876182,0.2035967219342713,0.005248008337964832,1.0,-0.057097965373530554,0.11981558093843618,-0.014320170403239539,0.09540087897405533,-0.13903354936728596,-0.14776526432814707,0.06133166022330871,0.03063607735440861,-0.1104277119768542,-0.06277057407882507,-0.12442928929477606,0.19419238918195367,0.1391349434495116,0.07191302248386006,-0.0745582301787949,0.13598564656446288,-0.14945171645161753,0.10556081941145036,0.07383620194269941,-0.11899303635722423,0.1532173013622123,-0.11010269033627573,-0.020670892981990326,-0.18594470667751278,-0.05034093998182759,0.16678914725385516,-0.004681627323017688,-0.09442726001775859,0.12446101474187098,-0.2983783253852786,0.11807726259427313,0.09178302526516044,0.06786340295120176,0.09572830585833242,-0.21651762918063508,0.03427472405914947,0.18355189363459648,0.1537275127216525,-0.1764441286469239,-0.18032219199934638,-0.22983590180579738,-0.23924759945554994,-0.008178470054336251,-0.03417526460258981
signal_energy,-0.013690759457895567,0.0924924764573412,0.07779807338528794,-0.11515043355309029,-0.12396165129426821,0.20279561838689064,0.22895045121271285,-0.057097965373530554,1.0,0.3551005310871346,-0.3118947692582494,0.05717814279524411,0.6068985881076004,0.5407721159006135,-0.03229200821397051,0.14513665660350397,-0.08925806934660949,0.057832215054794134,0.5164164343047398,-0.16744881582184148,-0.17122406277748675,-0.1237969278676017,-0.3567528317514075,-0.1471720977857634,0.0037117878637157914,-0.5408359577798941,0.24672424645065483,-0.3830761959963778,0.34790404645805667,-0.3726063479680068,-0.07974469070634149,-0.15740709978831913,-0.35697353455957404,0.2609297571160459,0.3113964934523358,-0.05886414163140082,0.05822397885522743,-0.02124378331608449,-0.1284728422577911,-0.13967163238477512,0.2448689429430104,0.19895391531268292,0.2814000868083963,0.0663304869969186,0.2826563636552656,0.16149384695147004,0.5924222785461091,0.5800753597496868,0.08760300048693696,0.0900628085462353,-0.31919936530251924,-0.0861411674540908
maximum,-0.07898713085600115,0.2688496253147392,0.2774088416794872,0.17476944513216866,0.03410110549337729,0.35885835371471714,0.05119534711218858,0.11981558093843618,0.3551005310871346,1.0,-0.4479053710522111,-0.19751971992870201,0.2964447777829079,0.23301380358359755,0.19807726224276562,0.22779325171576742,0.009538769383728564,-0.07784852131812345,0.12347982019233911,0.06658944423039223,-0.03992019975975367,-0.16039743619090202,-0.034961486154644485,-0.05487064313333949,-0.5442535342612975,-0.2698852612971,0.45976417970004435,-0.0695064969284811,0.07493347791824834,-0.05799550412128054,-0.12582778598083832,-0.4279833179655497,-0.12271540234686017,0.1637877784901743,0.13086692417170204,-0.4667619309342302,0.05185066838350108,-0.4533056392837058,-0.21410684729827617,-0.22755165039984315,0.3935546898769216,0.3805680412875566,-0.09469371508600387,0.0908919465625559,0.4370515663763319,0.33220310121052093,0.22375982626648777,0.20408246462552637,-0.21552689180776607,-0.21723373925643918,0.06815223693992188,-0.014319008054769107
