feature_a,feature_b,spearman_rho,absolute_spearman_rho,threshold
HRV_SDNN,HRV_RMSSD,0.9524460885973268,0.9524460885973268,0.85
HRV_SDNN,HRV_RMSSD,0.9524460885973268,0.9524460885973268,0.9
standardDeviation,variance,0.9070553467252294,0.9070553467252294,0.85
standardDeviation,variance,0.9070553467252294,0.9070553467252294,0.9
standardDeviation,meanAbsoluteValue,0.8616560304223526,0.8616560304223526,0.85
standardDeviation,renyiEntropy,-0.8773295010878446,0.8773295010878446,0.85
standardDeviation,fd_standardDeviation,0.9588156719572928,0.9588156719572928,0.85
standardDeviation,fd_standardDeviation,0.9588156719572928,0.9588156719572928,0.9
standardDeviation,fd_variance,0.9391486650079637,0.9391486650079637,0.85
standardDeviation,fd_variance,0.9391486650079637,0.9391486650079637,0.9
variance,fd_standardDeviation,0.8909802311390784,0.8909802311390784,0.85
variance,fd_variance,0.8989779446604256,0.8989779446604256,0.85
meanAbsoluteValue,fd_standardDeviation,0.8685881217880065,0.8685881217880065,0.85
approximateEntropy,sampleEntropy,0.9403044060223966,0.9403044060223966,0.85
approximateEntropy,sampleEntropy,0.9403044060223966,0.9403044060223966,0.9
approximateEntropy,fuzzyEntropy,0.9238524498821935,0.9238524498821935,0.85
approximateEntropy,fuzzyEntropy,0.9238524498821935,0.9238524498821935,0.9
sampleEntropy,fuzzyEntropy,0.9816406188533481,0.9816406188533481,0.85
sampleEntropy,fuzzyEntropy,0.9816406188533481,0.9816406188533481,0.9
singularValueDecompositionEntropy,hjorthMobility,0.9537528797872807,0.9537528797872807,0.85
singularValueDecompositionEntropy,hjorthMobility,0.9537528797872807,0.9537528797872807,0.9
singularValueDecompositionEntropy,fisherInfo,0.9575677243467395,0.9575677243467395,0.85
singularValueDecompositionEntropy,fisherInfo,0.9575677243467395,0.9575677243467395,0.9
renyiEntropy,fd_standardDeviation,-0.8770102910120339,0.8770102910120339,0.85
hjorthMobility,fisherInfo,0.9740526154755226,0.9740526154755226,0.85
hjorthMobility,fisherInfo,0.9740526154755226,0.9740526154755226,0.9
entropyProfiled_standardDeviation_sampleEntropy,entropyProfiled_variance_sampleEntropy,0.8806982063014483,0.8806982063014483,0.85
entropyProfiled_kurtosis_sampleEntropy,entropyProfiled_skewness_sampleEntropy,0.9736832855151707,0.9736832855151707,0.85
entropyProfiled_kurtosis_sampleEntropy,entropyProfiled_skewness_sampleEntropy,0.9736832855151707,0.9736832855151707,0.9
fd_standardDeviation,fd_variance,0.9799823368165685,0.9799823368165685,0.85
fd_standardDeviation,fd_variance,0.9799823368165685,0.9799823368165685,0.9
fd_kurtosis,fd_skewness,0.9690200537921393,0.9690200537921393,0.85
fd_kurtosis,fd_skewness,0.9690200537921393,0.9690200537921393,0.9
