feature_a,feature_b,spearman_rho,absolute_spearman_rho,threshold
sampleEntropy,fuzzyEntropy,0.9816406188533481,0.9816406188533481,0.9
fd_standardDeviation,fd_variance,0.9799823368165685,0.9799823368165685,0.9
hjorthMobility,fisherInfo,0.9740526154755226,0.9740526154755226,0.9
entropyProfiled_kurtosis_sampleEntropy,entropyProfiled_skewness_sampleEntropy,0.9736832855151707,0.9736832855151707,0.9
fd_kurtosis,fd_skewness,0.9690200537921393,0.9690200537921393,0.9
standardDeviation,fd_standardDeviation,0.9588156719572928,0.9588156719572928,0.9
singularValueDecompositionEntropy,fisherInfo,0.9575677243467395,0.9575677243467395,0.9
singularValueDecompositionEntropy,hjorthMobility,0.9537528797872807,0.9537528797872807,0.9
HRV_SDNN,HRV_RMSSD,0.9524460885973268,0.9524460885973268,0.9
approximateEntropy,sampleEntropy,0.9403044060223966,0.9403044060223966,0.9
standardDeviation,fd_variance,0.9391486650079637,0.9391486650079637,0.9
approximateEntropy,fuzzyEntropy,0.9238524498821935,0.9238524498821935,0.9
standardDeviation,variance,0.9070553467252294,0.9070553467252294,0.9
