threshold,cluster_id,n_features_in_cluster,feature,feature_family,direction_consistency,rank_biserial_effect_size,absolute_rank_biserial_effect_size,wilcoxon_p_value,global_bh_fdr_p_value,family_bh_fdr_p_value,bootstrap_ci_excludes_zero,median_difference,dominant_direction,n_subjects_available,lmm_beta_Class,lmm_p_value_Class,lmm_global_bh_fdr_p_value,lmm_global_bh_fdr_significant,lmm_agrees_with_paired_direction,lmm_converged,n_missing,percent_missing,known_artifact_or_rhythm_sensitive,highly_derived_aggregate,interpretability_score,representative_priority_score
0.85,rho_085_cluster_01,2,HRV_RMSSD,HRV,0.5,-0.12380952380952381,0.12380952380952381,0.6476554870605469,0.9626522350658362,0.6476554870605469,False,0.445869794999993,tied,20,-0.12477735096525068,0.026838575884229464,0.03987445559942663,True,False,True,1,0.079,True,False,3,3.746829047619048
0.85,rho_085_cluster_01,2,HRV_SDNN,HRV,0.55,-0.1523809523809524,0.1523809523809524,0.5705966949462891,0.9313364892972296,0.6476554870605469,False,-1.6762685174999987,decreased_during_HI,20,-0.13012392786510293,0.018733543145526343,0.02865130128139323,True,True,True,1,0.079,True,False,3,4.953971904761905
0.85,rho_085_cluster_02,3,approximateEntropy,Entropy / complexity,0.55,-0.4502923976608187,0.4502923976608187,0.09348671117483734,0.45281255008419846,0.2492978964662329,False,-0.03249999999999997,decreased_during_HI,20,-0.40431912554869226,6.381336550856579e-31,1.6591475032227104e-29,True,True,True,0,0.0,False,False,3,6.050584795321638
0.85,rho_085_cluster_02,3,fuzzyEntropy,Entropy / complexity,0.65,-0.49707602339181284,0.49707602339181284,0.06399596863607887,0.4330064047960739,0.2492978964662329,False,-0.01999999999999999,decreased_during_HI,20,-0.3553121960292917,1.0159848056247969e-26,1.0566241978497887e-25,True,True,True,0,0.0,False,False,3,6.444152046783626
0.85,rho_085_cluster_02,3,sampleEntropy,Entropy / complexity,0.65,-0.4842105263157895,0.4842105263157895,0.06406852503128298,0.4330064047960739,0.2492978964662329,False,-0.03499999999999999,decreased_during_HI,20,-0.36368899245396114,4.217735481673714e-28,7.31074150156777e-27,True,True,True,0,0.0,False,False,3,6.4184210526315795
0.85,rho_085_cluster_03,2,entropyProfiled_kurtosis_sampleEntropy,Entropy-profile aggregates,0.55,0.20952380952380953,0.20952380952380953,0.4304332733154297,0.9077031086770774,0.5683961815099696,False,3.5999999999999943,increased_during_HI,20,0.03578680353699828,0.19191835627114595,0.2320873145604556,False,True,True,0,0.0,False,True,1,3.0690476190476192
0.85,rho_085_cluster_03,2,entropyProfiled_skewness_sampleEntropy,Entropy-profile aggregates,0.6,0.3047619047619048,0.3047619047619048,0.24548721313476562,0.6687778465821089,0.392779541015625,False,0.2599999999999998,increased_during_HI,20,0.04708808808191855,0.07309231043120494,0.09804570117566073,False,True,True,0,0.0,False,True,1,3.4095238095238094
0.85,rho_085_cluster_04,2,entropyProfiled_standardDeviation_sampleEntropy,Entropy-profile aggregates,0.55,-0.5047619047619047,0.5047619047619047,0.0957872702101189,0.45281255008419846,0.3365066336124196,False,-0.015,decreased_during_HI,20,-0.28541405227678457,3.250313449110302e-15,1.8779588817081746e-14,True,True,True,0,0.0,False,True,1,4.65952380952381
0.85,rho_085_cluster_04,2,entropyProfiled_variance_sampleEntropy,Entropy-profile aggregates,0.4,-0.4909090909090909,0.4909090909090909,0.1682533168062098,0.6203346117998263,0.3365066336124196,False,0.0,decreased_during_HI,20,-0.3189084237587846,8.953009864831421e-16,5.819456412140423e-15,True,False,True,0,0.0,False,True,1,3.181818181818182
0.85,rho_085_cluster_05,2,fd_kurtosis,FD-summary aggregates,0.5,0.01904761904761905,0.01904761904761905,0.956329345703125,0.9750809015012255,1.0,False,1.0350000000000001,tied,20,0.11372565701880842,0.005919924765406248,0.009930196380681449,True,True,True,0,0.0,False,True,1,3.538095238095238
