feature,feature_family,direction_consistency,rank_biserial_effect_size,absolute_rank_biserial_effect_size,wilcoxon_p_value,global_bh_fdr_p_value,family_bh_fdr_p_value,bootstrap_ci_excludes_zero,median_difference,dominant_direction,n_subjects_available,lmm_beta_Class,lmm_p_value_Class,lmm_global_bh_fdr_p_value,lmm_global_bh_fdr_significant,lmm_agrees_with_paired_direction,lmm_converged,n_missing,percent_missing,known_artifact_or_rhythm_sensitive,highly_derived_aggregate,interpretability_score,representative_priority_score,selected_reason
HRV_MeanNN,HRV,0.75,0.49523809523809526,0.49523809523809526,0.05316925048828125,0.4330064047960739,0.1063385009765625,True,20.759493749999933,increased_during_HI,20,0.15256919182500958,0.002828722258428909,0.00525334133708226,True,True,True,1,0.079,True,False,3,7.23968619047619,not_in_rho_0_90_cluster
kurtosis,Time-domain statistics,0.75,0.5333333333333333,0.5333333333333333,0.03623390197753906,0.4330064047960739,0.3623390197753906,True,0.9924999999999997,increased_during_HI,20,0.011690975593518444,0.829802162962647,0.8629942494811528,False,True,True,0,0.0,False,False,3,6.816666666666666,not_in_rho_0_90_cluster
fuzzyEntropy,Entropy / complexity,0.65,-0.49707602339181284,0.49707602339181284,0.06399596863607887,0.4330064047960739,0.2492978964662329,False,-0.01999999999999999,decreased_during_HI,20,-0.3553121960292917,1.0159848056247969e-26,1.0566241978497887e-25,True,True,True,0,0.0,False,False,3,6.444152046783626,representative_of_rho_0_90_cluster
HRV_pNN50,HRV,0.65,-0.5619047619047619,0.5619047619047619,0.026641845703125,0.4330064047960739,0.1063385009765625,False,-11.345795360000002,decreased_during_HI,20,-0.37982660525907186,9.989891259705976e-28,1.2986858637617767e-26,True,True,True,1,0.079,True,False,3,6.073019523809524,not_in_rho_0_90_cluster
QRS_mean,Morphology / signal quality,0.6,0.5714285714285714,0.5714285714285714,0.023950576782226562,0.4330064047960739,0.11975288391113281,False,0.01035768875000001,increased_during_HI,20,0.4881475230324718,4.0448454806340205e-50,2.1033196499296905e-48,True,True,True,5,0.397,True,False,3,5.938887142857143,not_in_rho_0_90_cluster
spectralEntropy,Spectral,0.5,-0.24285714285714285,0.24285714285714285,0.3410214366810602,0.8060506685188696,0.3410214366810602,False,-0.050000000000000266,tied,20,-0.11851715883001229,1.1810213823433655e-05,3.411839548991945e-05,True,True,True,0,0.0,False,False,3,5.485714285714286,not_in_rho_0_90_cluster
katzFd,Fractal / nonlinear,0.6,-0.34210526315789475,0.34210526315789475,0.19087218824610042,0.6203346117998263,0.7642383976586055,False,-0.05249999999999977,decreased_during_HI,20,-0.15891891205420317,0.0002546236516078358,0.0006304966611241649,True,True,True,0,0.0,False,False,2,5.484210526315789,not_in_rho_0_90_cluster
numberOfZeroCrossing,Time-domain statistics,0.6,-0.3047619047619048,0.3047619047619048,0.24548721313476562,0.6687778465821089,0.8371133735540475,False,-53.75,decreased_during_HI,20,-0.1259054906682131,0.0006734889063326403,0.0014008569251718918,True,True,True,0,0.0,False,False,2,5.40952380952381,not_in_rho_0_90_cluster
maximum,Time-domain statistics,0.6,-0.3,0.3,0.2511340120662142,0.6687778465821089,0.8371133735540475,False,-0.012499999999999983,decreased_during_HI,20,-0.19723404971482744,5.678434253361295e-06,1.7369328304399257e-05,True,True,True,0,0.0,False,False,2,5.4,not_in_rho_0_90_cluster
R_amp_mean,Morphology / signal quality,0.6,-0.26666666666666666,0.26666666666666666,0.3117942810058594,0.7720620291573661,0.5196571350097656,False,-0.18839682025000015,decreased_during_HI,20,-0.09994372942138374,5.1313887484547963e-05,0.0001334161074598247,True,True,True,1,0.079,True,False,3,5.332543333333333,not_in_rho_0_90_cluster
higuchiFd,Fractal / nonlinear,0.5,-0.30409356725146197,0.30409356725146197,0.25722224868542654,0.6687778465821089,0.7642383976586055,False,-0.0025000000000000577,decreased_during_HI,20,-0.17078506584221662,1.3168497938350591e-11,4.8911563771016483e-11,True,True,True,0,0.0,False,False,2,5.1081871345029235,not_in_rho_0_90_cluster
entropyProfiled_maximum_sampleEntropy,Entropy-profile aggregates,0.65,-0.5672514619883041,0.5672514619883041,0.034669963150986444,0.4330064047960739,0.27735970520789155,False,-0.25500000000000017,decreased_during_HI,20,-0.26228006954593724,5.197975533972333e-17,4.504912129442688e-16,True,True,True,0,0.0,False,True,1,5.084502923976609,not_in_rho_0_90_cluster
