feature,episode_group,n_patients,median_of_patient_medians,iqr_patient_medians
QRS_mean,Continuous_HI,8,0.19515342925,0.04758073099999999
QRS_mean,Early_fragmented_HI,11,0.147397849,0.058318098250000006
QRS_mean,Later_fragmented_HI,12,0.14027176425,0.027827886125000006
QRS_mean,PreHI,20,0.13447805224999998,0.04039802512499999
kurtosis,Continuous_HI,8,1.3125,3.165
kurtosis,Early_fragmented_HI,11,7.46,4.4825
kurtosis,Later_fragmented_HI,12,8.795,9.2975
kurtosis,PreHI,20,5.98,5.90625
fuzzyEntropy,Continuous_HI,8,0.22499999999999998,0.12000000000000002
fuzzyEntropy,Early_fragmented_HI,11,0.26,0.10999999999999999
fuzzyEntropy,Later_fragmented_HI,12,0.235,0.06625000000000003
fuzzyEntropy,PreHI,20,0.22999999999999998,0.15250000000000002
entropyProfiled_maximum_sampleEntropy,Continuous_HI,8,2.0425,1.1587500000000002
entropyProfiled_maximum_sampleEntropy,Early_fragmented_HI,11,2.57,1.3350000000000002
entropyProfiled_maximum_sampleEntropy,Later_fragmented_HI,12,2.395,0.8987500000000002
entropyProfiled_maximum_sampleEntropy,PreHI,20,2.3825000000000003,1.4925000000000002
fd_mean,Continuous_HI,8,6.7675,3.41125
fd_mean,Early_fragmented_HI,11,7.51,2.352500000000001
fd_mean,Later_fragmented_HI,12,6.9475,2.98125
fd_mean,PreHI,20,7.952500000000001,3.5550000000000015
fd_median,Continuous_HI,8,2.0925,2.6399999999999997
fd_median,Early_fragmented_HI,11,2.06,2.4799999999999995
fd_median,Later_fragmented_HI,12,1.8,2.035
fd_median,PreHI,20,2.9525,2.5212499999999993
