feature,n_subjects_available,median_PreHI,median_HI,median_difference,bootstrap_ci_95_low_median_difference,bootstrap_ci_95_high_median_difference,median_percentage_change,n_increased,n_decreased,n_unchanged,direction_consistency,dominant_direction,wilcoxon_statistic,wilcoxon_p_value,rank_biserial_effect_size,global_bh_fdr_p_value,global_bh_fdr_significant,family_bh_fdr_p_value,family_bh_fdr_significant,absolute_rank_biserial_effect_size,bootstrap_ci_excludes_zero,n_subjects_expected,complete_20_patient_pairs,feature_family,lmm_beta_Class,lmm_p_value_Class,lmm_global_bh_fdr_p_value,lmm_global_bh_fdr_significant,lmm_agrees_with_paired_direction,lmm_converged,is_HRV_feature,hrv_valid_median_difference,hrv_valid_dominant_direction,hrv_valid_direction_consistency,hrv_valid_wilcoxon_p_value,hrv_valid_bootstrap_ci_excludes_zero,hrv_valid_rank_biserial_effect_size,hrv_valid_direction_agrees_with_full,hrv_valid_support_flag,retained_after_rho_090_filtering,redundancy_selected_reason,rho_090_cluster_id,rho_090_cluster_features,is_rho_090_cluster_representative,n_essential_sensitivity_analyses_available,n_same_dominant_direction_as_reference,percent_same_dominant_direction_as_reference,n_same_median_difference_sign_as_reference,percent_same_median_difference_sign_as_reference,median_direction_consistency_across_essential_analyses,min_direction_consistency_across_essential_analyses,n_essential_analyses_with_bootstrap_ci_excluding_zero,n_essential_analyses_with_raw_p_less_0_05,loo_percent_same_dominant_direction,loo_percent_same_median_difference_sign,loo_n_runs_bootstrap_ci_excludes_zero,loo_n_runs_raw_p_less_0_05,loo_median_direction_consistency,n_HI_episode_groups_available,n_HI_episode_groups_agree_with_full_direction,episode_percent_HI_groups_agree,n_missing,percent_missing,clinically_interpretable,known_artifact_or_rhythm_sensitive,highly_derived_aggregate,score_effect_size,score_direction_consistency,score_statistical_support,score_bootstrap_support,score_lmm_support,score_hrv_valid_support,score_sensitivity_robustness,score_leave_one_out,score_redundancy,score_missingness,score_clinical_interpretability,score_artifact_penalty,score_episode_descriptive_support,total_candidate_score,meaningful_effect_size,strong_or_moderate_direction_consistency,acceptable_direction_consistency,strong_statistical_or_bootstrap_support,strong_sensitivity_support,acceptable_sensitivity_support,acceptable_redundancy,low_missingness,hrv_not_disqualified,candidate_category,interpretation_note,candidate_category_order
kurtosis,20,5.98,5.885,0.9924999999999996,0.3274999999999999,1.965,24.6866023885912,15,5,0,0.75,increased_during_HI,49.0,0.036233901977539,0.5333333333333333,0.4330064047960739,False,0.3623390197753906,False,0.5333333333333333,True,20,True,Time-domain statistics,0.0116909755935184,0.829802162962647,0.8629942494811528,False,True,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,5.0,5.0,100.0,5.0,100.0,0.7368421052631579,0.6842105263157895,2.0,1.0,100.0,100.0,20.0,11.0,0.7368421052631579,3.0,2.0,66.66666666666667,0,0.0,True,False,False,3,2,0,2,0,1,3,2,1,2,2,0,0,18,True,True,True,True,True,True,True,True,True,Strict candidate,meets strict scorecard criteria; good patient-level direction consistency; bootstrap CI excludes zero; LMM direction agrees with paired analysis,1
QRS_mean,20,0.1344780522499999,0.1513134615,0.01035768875,-0.0008321007499999,0.0297389859999999,5.902619880128842,12,8,0,0.6,increased_during_HI,45.0,0.0239505767822265,0.5714285714285714,0.4330064047960739,False,0.1197528839111328,False,0.5714285714285714,False,20,True,Morphology / signal quality,0.4881475230324718,4.044845480634021e-50,2.1033196499296902e-48,True,True,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,5.0,5.0,100.0,5.0,100.0,0.6,0.5789473684210527,0.0,4.0,100.0,100.0,0.0,20.0,0.5789473684210527,3.0,3.0,100.0,5,0.3968253968253968,True,True,False,3,0,0,0,2,1,3,2,1,1,2,-1,2,16,True,False,False,True,True,True,True,True,True,Strict candidate,meets strict scorecard criteria; limited patient-level direction consistency; LMM direction agrees with paired analysis; potentially rhythm/artifact sensitive,1
fuzzyEntropy,20,0.2299999999999999,0.2375,-0.0199999999999999,-0.08,0.0,-10.818713450292393,5,13,2,0.65,decreased_during_HI,43.0,0.0639959686360788,-0.4970760233918128,0.4330064047960739,False,0.2492978964662329,False,0.4970760233918128,False,20,True,Entropy / complexity,-0.3553121960292917,1.0159848056247967e-26,1.056624197849789e-25,True,True,True,False,,,,,,,,,True,representative_of_rho_0_90_cluster,rho_09_cluster_02,fuzzyEntropy; sampleEntropy; approximateEntropy,True,5.0,4.0,80.0,4.0,80.0,0.6470588235294118,0.5,0.0,1.0,100.0,100.0,0.0,4.0,0.631578947368421,3.0,1.0,33.333333333333336,0,0.0,True,False,False,2,1,0,0,2,1,2,2,2,2,2,0,0,16,True,False,True,False,False,True,True,True,True,Secondary candidate,retained as secondary candidate; LMM direction agrees with paired analysis,2
fd_mean,20,7.952500000000001,7.12,-0.3650000000000004,-0.7424999999999997,0.1524999999999987,-4.860165385789567,7,13,0,0.65,decreased_during_HI,62.0,0.1139869689941406,-0.4095238095238095,0.4939435323079427,False,0.3419609069824219,False,0.4095238095238095,False,20,True,FD-summary aggregates,-0.2100310428032028,1.1344298288151942e-14,5.899035109839008e-14,True,True,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,5.0,4.0,80.0,5.0,100.0,0.631578947368421,0.5,0.0,0.0,100.0,100.0,0.0,0.0,0.631578947368421,3.0,3.0,100.0,0,0.0,True,False,True,2,1,0,0,2,1,2,2,1,2,0,0,2,15,True,False,True,False,True,True,True,True,True,Secondary candidate,retained as secondary candidate; LMM direction agrees with paired analysis; highly derived aggregate feature,2
entropyProfiled_maximum_sampleEntropy,20,2.3825000000000003,2.3425,-0.2550000000000001,-0.615,0.0,-14.03685937894472,5,13,2,0.65,decreased_during_HI,37.0,0.0346699631509864,-0.5672514619883041,0.4330064047960739,False,0.2773597052078915,False,0.5672514619883041,False,20,True,Entropy-profile aggregates,-0.2622800695459372,5.197975533972333e-17,4.504912129442688e-16,True,True,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,5.0,4.0,80.0,5.0,100.0,0.631578947368421,0.5,0.0,2.0,100.0,100.0,0.0,15.0,0.631578947368421,3.0,1.0,33.333333333333336,0,0.0,False,False,True,3,1,0,0,2,1,2,2,1,2,0,0,0,14,True,False,True,True,True,True,True,True,True,Secondary candidate,retained as secondary candidate; LMM direction agrees with paired analysis; highly derived aggregate feature,2
fd_median,20,2.9525,1.86,-0.1624999999999999,-0.6850000000000002,0.1050000000000001,-5.47289481032351,7,13,0,0.65,decreased_during_HI,59.0,0.0896949768066406,-0.4380952380952381,0.4528125500841984,False,0.3419609069824219,False,0.4380952380952381,False,20,True,FD-summary aggregates,-0.2194916753262454,4.11319781382412e-12,1.782385719323785e-11,True,True,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,5.0,4.0,80.0,4.0,80.0,0.631578947368421,0.5,0.0,0.0,100.0,100.0,0.0,2.0,0.631578947368421,,,,0,0.0,True,False,True,2,1,0,0,2,1,2,2,1,2,0,0,0,13,True,False,True,False,False,True,True,True,True,Secondary candidate,retained as secondary candidate; LMM direction agrees with paired analysis; highly derived aggregate feature,2
katzFd,20,3.0275,2.9875,-0.0524999999999997,-0.1425,0.0349999999999999,-1.6761991916418748,7,12,1,0.6,decreased_during_HI,62.5,0.1908721882461004,-0.3421052631578947,0.6203346117998263,False,0.7642383976586055,False,0.3421052631578947,False,20,True,Fractal / nonlinear,-0.1589189120542031,0.0002546236516078,0.0006304966611241,True,True,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,False,2,0,0,0,2,1,0,0,1,2,1,0,0,9,True,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis,3
numberOfZeroCrossing,20,1357.75,1203.0,-53.75,-183.25,53.5,-5.966183289795319,8,12,0,0.6,decreased_during_HI,73.0,0.2454872131347656,-0.3047619047619048,0.6687778465821089,False,0.8371133735540475,False,0.3047619047619048,False,20,True,Time-domain statistics,-0.1259054906682131,0.0006734889063326,0.0014008569251718,True,True,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,False,2,0,0,0,2,1,0,0,1,2,1,0,0,9,True,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis,3
maximum,20,0.5800000000000001,0.4825,-0.0124999999999999,-0.0474999999999999,0.0074999999999999,-2.0865642182433337,7,12,1,0.6,decreased_during_HI,66.5,0.2511340120662142,-0.3,0.6687778465821089,False,0.8371133735540475,False,0.3,False,20,True,Time-domain statistics,-0.1972340497148274,5.678434253361295e-06,1.7369328304399257e-05,True,True,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,False,2,0,0,0,2,1,0,0,1,2,1,0,0,9,True,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis,3
entropyProfiled_standardDeviation_sampleEntropy,20,0.1325,0.14,-0.015,-0.0425,0.0,-11.437908496732028,3,11,6,0.55,decreased_during_HI,26.0,0.0957872702101189,-0.5047619047619047,0.4528125500841984,False,0.3365066336124196,False,0.5047619047619047,False,20,True,Entropy-profile aggregates,-0.2854140522767845,3.250313449110302e-15,1.8779588817081743e-14,True,True,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,True,3,0,0,0,2,1,0,0,1,2,0,0,0,9,True,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis; highly derived aggregate feature,3
