feature,feature_family,candidate_category,total_candidate_score,dominant_direction,median_difference,direction_consistency,rank_biserial_effect_size,wilcoxon_p_value,global_bh_fdr_p_value,family_bh_fdr_p_value,bootstrap_ci_excludes_zero,lmm_agrees_with_paired_direction,lmm_global_bh_fdr_significant,percent_same_median_difference_sign_as_reference,loo_percent_same_median_difference_sign,retained_after_rho_090_filtering,rho_090_cluster_id,percent_missing,clinically_interpretable,known_artifact_or_rhythm_sensitive,interpretation_note
kurtosis,Time-domain statistics,Strict candidate,18,increased_during_HI,0.9924999999999996,0.75,0.5333333333333333,0.036233901977539,0.4330064047960739,0.3623390197753906,True,True,False,100.0,100.0,True,,0.0,True,False,meets strict scorecard criteria; good patient-level direction consistency; bootstrap CI excludes zero; LMM direction agrees with paired analysis
QRS_mean,Morphology / signal quality,Strict candidate,16,increased_during_HI,0.01035768875,0.6,0.5714285714285714,0.0239505767822265,0.4330064047960739,0.1197528839111328,False,True,True,100.0,100.0,True,,0.3968253968253968,True,True,meets strict scorecard criteria; limited patient-level direction consistency; LMM direction agrees with paired analysis; potentially rhythm/artifact sensitive
fuzzyEntropy,Entropy / complexity,Secondary candidate,16,decreased_during_HI,-0.0199999999999999,0.65,-0.4970760233918128,0.0639959686360788,0.4330064047960739,0.2492978964662329,False,True,True,80.0,100.0,True,rho_09_cluster_02,0.0,True,False,retained as secondary candidate; LMM direction agrees with paired analysis
fd_mean,FD-summary aggregates,Secondary candidate,15,decreased_during_HI,-0.3650000000000004,0.65,-0.4095238095238095,0.1139869689941406,0.4939435323079427,0.3419609069824219,False,True,True,100.0,100.0,True,,0.0,True,False,retained as secondary candidate; LMM direction agrees with paired analysis; highly derived aggregate feature
entropyProfiled_maximum_sampleEntropy,Entropy-profile aggregates,Secondary candidate,14,decreased_during_HI,-0.2550000000000001,0.65,-0.5672514619883041,0.0346699631509864,0.4330064047960739,0.2773597052078915,False,True,True,100.0,100.0,True,,0.0,False,False,retained as secondary candidate; LMM direction agrees with paired analysis; highly derived aggregate feature
fd_median,FD-summary aggregates,Secondary candidate,13,decreased_during_HI,-0.1624999999999999,0.65,-0.4380952380952381,0.0896949768066406,0.4528125500841984,0.3419609069824219,False,True,True,80.0,100.0,True,,0.0,True,False,retained as secondary candidate; LMM direction agrees with paired analysis; highly derived aggregate feature
katzFd,Fractal / nonlinear,Not prioritized,9,decreased_during_HI,-0.0524999999999997,0.6,-0.3421052631578947,0.1908721882461004,0.6203346117998263,0.7642383976586055,False,True,True,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis
numberOfZeroCrossing,Time-domain statistics,Not prioritized,9,decreased_during_HI,-53.75,0.6,-0.3047619047619048,0.2454872131347656,0.6687778465821089,0.8371133735540475,False,True,True,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis
maximum,Time-domain statistics,Not prioritized,9,decreased_during_HI,-0.0124999999999999,0.6,-0.3,0.2511340120662142,0.6687778465821089,0.8371133735540475,False,True,True,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis
entropyProfiled_standardDeviation_sampleEntropy,Entropy-profile aggregates,Not prioritized,9,decreased_during_HI,-0.015,0.55,-0.5047619047619047,0.0957872702101189,0.4528125500841984,0.3365066336124196,False,True,True,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis; highly derived aggregate feature
higuchiFd,Fractal / nonlinear,Not prioritized,9,decreased_during_HI,-0.0025,0.5,-0.3040935672514619,0.2572222486854265,0.6687778465821089,0.7642383976586055,False,True,True,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis
