,maximum,minimum,mean,median,standardDeviation,variance,kurtosis,skewness,numberOfZeroCrossing,positiveToNegativeSampleRatio,meanAbsoluteValue,approximateEntropy,sampleEntropy,permutationEntropy,singularValueDecompositionEntropy,shannonEntropy,renyiEntropy,lempelZivComplexity,hjorthMobility,hjorthComplexity,fisherInfo,petrosianFd,katzFd,higuchiFd,detrendedFluctuation,fd_maximum,fd_minimum,fd_mean,fd_median,fd_standardDeviation,fd_variance,fd_kurtosis,fd_skewness,spectralEntropy,fd_bandPower
maximum,1.0,-0.6018631080768031,,0.03891821631692193,0.08992648082199291,0.06823330413508337,0.159481677910385,0.15303181799116755,0.09131847651344263,-0.00978161426571469,0.045938929962367946,0.36155711704482496,0.22867628754534147,0.10875955396051969,-0.09794447950332257,-0.052580628607393674,0.029562420839697134,0.2520984387587746,-0.1556320812341774,0.2983786263037254,-0.1339061859832289,-0.04387583760440092,-0.3885332666365317,-0.004013301850473985,0.4933481873486982,-0.11514287654334804,0.0768561637952053,0.3615306075916978,0.31729773606496914,0.005499003100534142,0.019114379736879433,-0.14472756900067252,-0.17340478100320258,0.18941750613696887,0.06578455651283577
minimum,-0.6018631080768031,1.0,,-0.19604225930606936,-0.3843977708922512,-0.33103054377994845,-0.0069006296767901085,0.1413256954927793,0.053192528417377344,-0.17602859257829667,-0.31216161668054077,-0.22643654241558192,-0.12571386177428195,0.040484637487520556,0.17502759339346283,0.014217792699744616,0.23528529298617284,-0.21191672659174798,0.24868712196134912,-0.39320787326445017,0.2040722633937094,-0.007230470435207767,0.3455777913467786,0.14769732123403004,-0.47300215959467545,-0.10462091805551196,-0.14858877102270399,-0.38899503439895344,-0.3816271657519392,-0.29329158605894756,-0.28482806927079796,-0.022467273979438658,-0.015395824818069174,-0.015511114104198568,-0.32635089869338096
mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
median,0.03891821631692193,-0.19604225930606936,,1.0,-0.024294586149825492,-0.08474058924643867,0.03264270161015104,-0.6690548749891905,0.1925287576897228,0.7493849317566197,0.004309776670028801,0.18442234927959034,0.27500028860826337,-0.34008491071262253,0.2847944847347112,-0.19381323939277134,-0.08428721307234968,0.09351844390948803,0.22076301066811846,-0.21391930629568076,0.26044539749021567,0.003590793313448269,0.014387379250239153,0.24608022844862737,-0.10820163821646848,0.13285481909231034,-0.05225466402546128,-0.05268013788471017,-0.0004621701699632888,0.024400258837584666,0.010836015454080934,0.14250707339649854,0.1503359748695183,-0.12799384017245233,-0.08099915888382309
standardDeviation,0.08992648082199291,-0.3843977708922512,,-0.024294586149825492,1.0,0.903938995568925,-0.34336538112198817,-0.06409423734688126,-0.35799692874723693,0.20637038683940095,0.9195517021721589,-0.3422717400556532,-0.33270400938498784,-0.2960676282564196,-0.5758975617575367,0.5283769570176081,-0.6477022771889808,-0.0015005348784575957,-0.5420781382782278,0.5194133405874296,-0.5467650199000155,-0.17420063742949882,0.04677567161152182,-0.6749239618209227,0.19722554755873914,0.48102479404002374,0.08431136743614552,0.012292113462759718,-0.08776055190828885,0.9414901908907609,0.8848240321620291,0.2786674641133035,0.3862250314326471,-0.5476069672402145,0.9024427879946331
variance,0.06823330413508337,-0.33103054377994845,,-0.08474058924643867,0.903938995568925,1.0,-0.28106653729812164,-0.008319480907393467,-0.3060818214983084,0.14641238352351355,0.8555806129396878,-0.3217952411256947,-0.3119506455359249,-0.1999372732807613,-0.4907477093372243,0.49403909414750957,-0.577659542517445,-0.0009680966565011479,-0.4571498154817033,0.4692930283500829,-0.4651012306172894,-0.10449963886052677,0.05537066490354967,-0.5988499266891213,0.13444670672315412,0.4965638816887502,0.11136923221030585,-0.03739053255064554,-0.114620396626485,0.896519000203338,0.8689473234517135,0.2974347758243588,0.39306392972902404,-0.5163074897738565,0.978789103210453
kurtosis,0.159481677910385,-0.0069006296767901085,,0.03264270161015104,-0.34336538112198817,-0.28106653729812164,1.0,0.07614005722671156,0.40734641534422455,0.03441384643187037,-0.38012268796505505,0.10907010768143889,-0.0027178365808405297,0.16344970834054945,0.30842627063793304,-0.04080347600393328,0.7350856808889229,0.33006946974792856,0.3668612362558573,-0.15722367949194876,0.3156883864024758,0.16607109854367805,-0.12091128036658623,0.35798720590088556,-0.20407558698601863,-0.21563673637448116,-0.08901533295295119,-0.042588749446385084,0.06908358478206564,-0.38207945929649284,-0.3387237960272994,-0.12431820251275713,-0.20137709454695155,0.29580081464669794,-0.2803709639940463
skewness,0.15303181799116755,0.1413256954927793,,-0.6690548749891905,-0.06409423734688126,-0.008319480907393467,0.07614005722671156,1.0,-0.0832707084918877,-0.6803799330483914,-0.09572244826901112,-0.077535645996751,-0.18866660035180272,0.45970212898912544,-0.22981783395998012,0.1680263073216965,0.27263244970554373,-0.08907530449212744,-0.21948976506668874,0.3231764473199828,-0.24014820160655867,0.053340082710604815,-0.024751706066104804,-0.1502123699786969,0.24489920682974875,-0.22105086667791307,0.016870680028655407,0.1246835746997808,0.0426955263070535,-0.11558127135667694,-0.09107375330459232,-0.1980471585896116,-0.2028844236514709,0.09606581674453168,-0.0038310268127909504
numberOfZeroCrossing,0.09131847651344263,0.053192528417377344,,0.1925287576897228,-0.35799692874723693,-0.3060818214983084,0.40734641534422455,-0.0832707084918877,1.0,0.07021095377430236,-0.38352614775325117,0.40003801044690196,0.4227021716243024,0.3328578211400663,0.4196059399705852,-0.2102151345223416,0.49984614104067504,0.13459944082267875,0.40229313915985365,-0.23368925605657667,0.41363993722422215,0.3309660029018317,0.05594171251683509,0.5465271828349193,-0.14948008697946683,-0.11184108672169374,-0.003109303611925556,-0.06725404118311698,0.061766009957388304,-0.31509281683492174,-0.24704173172022414,0.0028116248331106404,-0.04945764269765918,0.23403963329241176,-0.3073793156482967
positiveToNegativeSampleRatio,-0.00978161426571469,-0.17602859257829667,,0.7493849317566197,0.20637038683940095,0.14641238352351355,0.03441384643187037,-0.6803799330483914,0.07021095377430236,1.0,0.21504354231622727,-0.08843619771812991,0.0001065258527586656,-0.29494490773411114,0.090044199617626,-0.009519698238483046,-0.26723011321971724,0.06892422124327935,0.07461213666083558,-0.08148843477130331,0.0754311178103732,0.08144819535409954,-0.0013551652776032307,0.014797820518071651,-0.07619457611781423,0.3332840836192408,-0.04765474234918437,-0.21934597691554508,-0.16343389683654563,0.2753449314037453,0.25136488898710774,0.29904285511012907,0.34178389096624806,-0.3456610989873826,0.15093465932203629
meanAbsoluteValue,0.045938929962367946,-0.31216161668054077,,0.004309776670028801,0.9195517021721589,0.8555806129396878,-0.38012268796505505,-0.09572244826901112,-0.38352614775325117,0.21504354231622727,1.0,-0.2710805476202254,-0.2163600747083481,-0.3010114390161858,-0.5061219355899425,0.5297394768665329,-0.6254833964266636,0.001301230349750928,-0.4765908429243542,0.5068299801503435,-0.49707699891043083,-0.17676140552177824,0.10979889065328911,-0.6016502961993486,0.1805228265364074,0.5185573482330962,0.08684549225609134,-0.034446829307929576,-0.1172460264610033,0.9071731377944555,0.8482920960160238,0.3284507926096239,0.42812704086389763,-0.6021346525408102,0.8609553356659982
