feature,n_subjects,median_before,median_during,median_difference,median_percent_change,n_increased,n_decreased,n_unchanged,n_nonzero_differences,n_valid_percent_changes,direction_consistency,rank_biserial,wilcoxon_statistic,p_value,p_fdr_bh,significant_fdr
kurtosis,11,5.0649999999999995,6.1,0.7749999999999999,22.02702702702701,9,2,0,11,11,0.8181818181818182,0.8181818181818182,6.0,0.013671875,0.18229166666666666,False
sampleEntropy,11,0.375,0.31,-0.065,-17.333333333333332,2,8,1,10,11,0.7272727272727273,-0.8727272727272727,3.5,0.01171875,0.18229166666666666,False
hjorthComplexity,11,1.96,1.88,-0.050000000000000044,-2.970297029702973,2,8,1,10,11,0.7272727272727273,-0.6727272727272727,9.0,0.064453125,0.322265625,False
fd_mean,11,9.2,7.62,-0.34000000000000075,-4.4678055190538855,3,8,0,11,11,0.7272727272727273,-0.6666666666666666,11.0,0.0537109375,0.322265625,False
maximum,11,0.56,0.48,-0.015000000000000013,-2.4390243902438913,3,8,0,11,11,0.7272727272727273,-0.5606060606060606,14.5,0.1064453125,0.4139539930555556,False
fd_median,11,4.35,2.92,-0.25,-5.285412262156448,3,8,0,11,11,0.7272727272727273,-0.5151515151515151,16.0,0.1474609375,0.51611328125,False
renyiEntropy,11,-8.95,-9.015,0.08000000000000007,0.8938547486033528,8,3,0,11,11,0.7272727272727273,0.3181818181818182,22.5,0.3828125,0.986083984375,False
fd_standardDeviation,11,21.17,20.96,-0.8350000000000009,-3.944260746339163,3,8,0,11,11,0.7272727272727273,-0.09090909090909091,30.0,0.8310546875,1.0,False
fd_variance,11,448.32,439.12,-24.964999999999918,-7.773465381870085,3,8,0,11,11,0.7272727272727273,-0.12121212121212122,29.0,0.7646484375,1.0,False
detrendedFluctuation,11,0.54,0.52,-0.02999999999999997,-6.122448979591831,1,7,3,8,11,0.6363636363636364,-0.9444444444444444,1.0,0.015625,0.18229166666666666,False
positiveToNegativeSampleRatio,11,1.29,1.28,-0.040000000000000036,-3.030303030303033,4,7,0,11,11,0.6363636363636364,-0.24242424242424243,25.0,0.51953125,0.986083984375,False
meanAbsoluteValue,11,0.12,0.11,-0.009999999999999995,-8.33333333333333,3,7,1,10,11,0.6363636363636364,-0.3090909090909091,19.0,0.435546875,0.986083984375,False
singularValueDecompositionEntropy,11,1.15,1.14,0.019999999999999796,1.4705882352941024,7,4,0,11,11,0.6363636363636364,0.21212121212121213,26.0,0.5634765625,0.986083984375,False
hjorthMobility,11,0.48,0.49,0.020000000000000018,4.1666666666666705,7,3,1,10,11,0.6363636363636364,0.3090909090909091,19.0,0.4140625,0.986083984375,False
skewness,11,-0.49,-0.52,0.06999999999999998,4.4088176352705535,7,4,0,11,11,0.6363636363636364,0.0,33.0,1.0,1.0,False
spectralEntropy,11,5.01,4.905,0.03500000000000014,0.7186858316221795,7,4,0,11,11,0.6363636363636364,-0.030303030303030304,32.0,0.9658203125,1.0,False
approximateEntropy,11,0.5,0.45,-0.05499999999999999,-10.89108910891089,3,6,2,9,11,0.5454545454545454,-0.7333333333333333,6.0,0.05078125,0.322265625,False
permutationEntropy,11,2.37,2.32,0.010000000000000231,0.3984063745020013,6,4,1,10,11,0.5454545454545454,-0.23636363636363636,21.0,0.5390625,0.986083984375,False
fisherInfo,11,0.5,0.5,0.0050000000000000044,0.8474576271186449,6,3,2,9,11,0.5454545454545454,0.26666666666666666,16.5,0.515625,0.986083984375,False
katzFd,11,3.35,3.13,-0.01499999999999968,-0.42857142857141944,4,6,1,10,11,0.5454545454545454,-0.2909090909090909,19.5,0.447265625,0.986083984375,False
minimum,11,-0.63,-0.61,0.010000000000000009,0.8196721311475418,6,4,1,10,11,0.5454545454545454,-0.01818181818181818,27.0,1.0,1.0,False
numberOfZeroCrossing,11,1404.0,1384.0,-46.5,-6.581059390048154,5,6,0,11,11,0.5454545454545454,-0.15151515151515152,28.0,0.7001953125,1.0,False
fd_maximum,11,474.37,509.47,-12.149999999999977,-4.6884043989967115,5,6,0,11,11,0.5454545454545454,-0.030303030303030304,32.0,0.9658203125,1.0,False
fd_kurtosis,11,215.02,120.35,-1.4299999999999997,-9.304843115048984,5,6,0,11,11,0.5454545454545454,-0.15151515151515152,28.0,0.7001953125,1.0,False
