feature,beta_condition_std,se,ci_low,ci_high,p_value,converged,warning,p_fdr_bh,significant_fdr
approximateEntropy,-0.5614279097887256,0.04323329888378418,-0.6461636185337983,-0.47669220104365284,1.4689385712314836e-38,True,,5.1412849993101926e-37,True
sampleEntropy,-0.5029865471879605,0.03972291326285309,-0.5808420265441611,-0.42513106783176,9.556004241833982e-37,True,,1.672300742320947e-35,True
detrendedFluctuation,-0.3850551299127339,0.04545752380611982,-0.47415023939910084,-0.29596002042636693,2.4401104543755366e-17,True,,2.846795530104793e-16,True
permutationEntropy,-0.2793842470434397,0.03619002389877167,-0.350315390484676,-0.20845310360220343,1.1639876091896161e-14,True,,1.0184891580409141e-13,True
higuchiFd,-0.21546531493499083,0.03074640507545053,-0.27572716153695337,-0.15520346833302828,2.4205754270393948e-12,True,,1.6944027989275765e-11,True
median,-0.1859987523001761,0.02828820971030633,-0.24144262451949272,-0.13055488008085947,4.8609569437572396e-11,True,,2.835558217191723e-10,True
hjorthComplexity,-0.18205903578613136,0.03340042698349934,-0.24752266974204987,-0.11659540183021286,5.0143835303631724e-08,True,,2.5071917651815863e-07,True
fd_median,-0.23413558255997396,0.05058837908370834,-0.3332869836003017,-0.13498418151964625,3.6877160165291452e-06,True,,1.613375757231501e-05,True
fd_variance,0.11011459642148944,0.02451735805313899,0.06206145764126396,0.1581677352017149,7.079265516816003e-06,True,,2.7530477009840013e-05,True
singularValueDecompositionEntropy,-0.1365013770000694,0.030571144201419837,-0.1964197186010328,-0.076583035399106,8.005385163308901e-06,True,,2.8018848071581157e-05,True
variance,0.10277482758716389,0.024471164115235814,0.05481222726153271,0.15073742791279507,2.6711071464097497e-05,True,,8.498977284031022e-05,True
fd_bandPower,0.10015065300775355,0.024465544844017532,0.05219906625132958,0.14810223976417752,4.24839251200647e-05,True,,0.00012391144826685537,True
fd_standardDeviation,0.1005578433100118,0.02502158425391678,0.0515164393362004,0.1495992472838232,5.848437965395269e-05,True,,0.00015745794522218032,True
lempelZivComplexity,0.16197709456078435,0.041232050088437014,0.08116376137869626,0.24279042774287246,8.550333343487716e-05,True,,0.0002137583335871929,True
standardDeviation,0.09189457301475493,0.02508315659621857,0.04273248946758824,0.14105665656192162,0.0002486981371557133,True,,0.0005802956533633311,True
fd_minimum,-0.24066385012830468,0.06850125047916679,-0.3749238339634287,-0.10640386629318066,0.000442616208374709,True,Random effects covariance is singular,0.0009682229558196759,True
numberOfZeroCrossing,-0.13892768578865441,0.04502320787361815,-0.22717155168940617,-0.050683819887902645,0.0020308007309605297,True,,0.004181060328448149,True
petrosianFd,-0.1385187749840264,0.045772206771427425,-0.22823065174894452,-0.04880689821910826,0.0024759613674993283,True,,0.004814369325693139,True
meanAbsoluteValue,0.07076164463905407,0.025328594527777647,0.02111851158559159,0.12040477769251656,0.005210147964705595,True,,0.00959764098761557,True
skewness,-0.13414551848541828,0.048411246513307984,-0.2290298180981922,-0.03926121887264436,0.005589167932446898,True,,0.009781043881782072,True
katzFd,-0.1630239082298874,0.06025331533336706,-0.2811182362324218,-0.04492958022735298,0.006817246912708736,True,Random effects covariance is singular,0.011362078187847893,True
shannonEntropy,6.869894441764523e-20,2.7505775914604266e-20,1.4788614258191604e-20,1.2260927457709886e-19,0.012503054537581096,False,"Maximum Likelihood optimization failed to converge. Check mle_retvals | MixedLM optimization failed, trying a different optimizer may help. | Gradient optimization failed, |grad| = 655.698435 | The MLE may be on the boundary of the parameter space.",0.019891223127969926,True
fd_maximum,0.07109584626156294,0.030673278490907414,0.01097732513161731,0.13121436739150857,0.020457850899703586,True,,0.031131512238679368,True
maximum,-0.14758006388086897,0.06464385228505468,-0.27427968618150345,-0.020880441580234527,0.022432054975479943,True,Random effects covariance is singular,0.03271341350590825,True
fisherInfo,-0.06345755493062574,0.030181894598003068,-0.12261298132789578,-0.004302128533355716,0.03550914727537961,True,,0.049712806185531457,True
fd_kurtosis,-0.08917306305885848,0.051255073016725036,-0.1896311601966103,0.011285034078893322,0.0818959005009725,True,Random effects covariance is singular,0.11024448144361682,False
minimum,0.07358726224503574,0.04633020189299998,-0.017218264861713656,0.16439278935178514,0.11221362659586133,True,,0.14538515869779078,False
renyiEntropy,-0.10783030988524793,0.06866160745565666,-0.24240458761896183,0.026743967848465985,0.11630812695823263,True,Random effects covariance is singular,0.14538515869779078,False
fd_skewness,-0.06852606496387635,0.04451859573775315,-0.1557809092521709,0.018728779324418188,0.12373879973994098,True,,0.1493399307206184,False
positiveToNegativeSampleRatio,-0.04062730746682441,0.03551811580385521,-0.11024153524110353,0.028986920307454707,0.2526868926718625,True,,0.2948013747838396,False
fd_mean,-0.029775047750182564,0.03370021132818617,-0.09582624822481621,0.036276152724451075,0.3769515829158989,True,,0.4255904968405311,False
kurtosis,-0.06084704306958863,0.07368638081082104,-0.20526969560990121,0.08357560947072395,0.4089419639577192,True,Random effects covariance is singular | The MLE may be on the boundary of the parameter space.,0.4426653235135836,False
spectralEntropy,0.027547297296746966,0.03396740191999134,-0.03902758711483275,0.09412218170832667,0.41737016216995027,True,,0.4426653235135836,False
hjorthMobility,-0.02606887228238087,0.03323289168128959,-0.09120414307982921,0.039066398515067484,0.4327879281594881,True,,0.44551698487006125,False
mean,,,,,,False,constant_or_invalid_feature,1.0,False
