,maximum,minimum,mean,median,standardDeviation,variance,kurtosis,skewness,numberOfZeroCrossing,positiveToNegativeSampleRatio,meanAbsoluteValue,approximateEntropy,sampleEntropy,permutationEntropy,singularValueDecompositionEntropy,shannonEntropy,renyiEntropy,lempelZivComplexity,hjorthMobility,hjorthComplexity,fisherInfo,petrosianFd,katzFd,higuchiFd,detrendedFluctuation,fd_maximum,fd_minimum,fd_mean,fd_median,fd_standardDeviation,fd_variance,fd_kurtosis,fd_skewness,spectralEntropy,fd_bandPower
maximum,1.0,-0.5468484515836949,,-0.07573764819771134,0.20555935609312054,0.16719313968756613,0.20618115808497423,0.30118808122503316,-0.007889502481198647,-0.08564999344873644,0.11789289134244862,0.09998242740431558,-0.010356470100142862,0.027405495665450967,-0.07278946896070786,-0.06579012459552988,-0.16668251362907155,0.3938194153014488,-0.12134528505775623,0.21752686739904814,-0.12177633961615915,-0.01674023353848424,-0.4969270449397144,-0.030103048443543275,0.337632091365246,-0.031507823802905774,0.10996112242742324,0.3248088685054603,0.3019859249433306,0.14378087805544518,0.13426610260116711,-0.1069946460270791,-0.10797671229220243,-0.00028408849390997726,0.1583227046988883
minimum,-0.5468484515836949,1.0,,-0.1953013771716353,-0.4885508882972016,-0.4232940402547414,-0.01916397578832202,-0.08759128100894026,-0.09315131601475846,0.04008972791554336,-0.3909835816851417,-0.16774886782897344,-0.10603185063465469,0.07316109352795563,0.0726283363991088,0.007918415617660279,0.431565879892163,-0.350221944550596,0.12449796521760495,-0.3124899709024166,0.11505734569756315,0.011268783427772678,0.2642565585399743,0.1161780155238041,-0.34763413808157406,-0.139769020415713,-0.18556835195700314,-0.5179074051297278,-0.44673725003820297,-0.4121271073739439,-0.3951754590338601,0.046239751504654515,0.04707592484440459,0.002559066959209783,-0.41542448670384124
mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
median,-0.07573764819771134,-0.1953013771716353,,1.0,0.2452078012627915,0.20988774902464585,-0.2032325035730955,-0.35453820672254727,0.21482369291258097,0.3405549214150536,0.29457155958344267,0.16290886203626453,0.30749665345906,-0.26124453243025125,0.005245514433197782,-0.12690047542980415,-0.30125875610392255,0.17947919795353426,-0.07659050808464393,0.10779687003526933,-0.0130274804632337,-0.10685282064819952,0.11466287724741951,-0.017985021645990903,0.09399535668604524,0.32967675696872806,5.9854913932527903e-05,0.13247394285396374,0.06410584842479494,0.2878049695461252,0.2840811883109847,0.22708328487778398,0.23163383926882344,-0.25697748982569635,0.21048923566284886
standardDeviation,0.20555935609312054,-0.4885508882972016,,0.2452078012627915,1.0,0.9151477811398657,-0.39149446803265514,0.10664149475476171,0.10526491634791156,-0.017684632614788382,0.9200006564976898,-0.03611483111671127,0.07618803132409639,-0.22306939305911838,-0.38401009898972277,0.2236857111435113,-0.820782947420126,0.34316311910372327,-0.39963479989735456,0.527790636860221,-0.4178205398719398,-0.12026877051768103,0.06262157627651686,-0.48269459612336424,0.2758719922534962,0.5495203526800061,0.11078164417556509,0.3788426049923423,0.19800037674572918,0.9563290666336718,0.9159019869968459,0.25309687366392475,0.31404772761302746,-0.4821437846735968,0.9164586309952316
variance,0.16719313968756613,-0.4232940402547414,,0.20988774902464585,0.9151477811398657,1.0,-0.3731041865955895,0.1712395662753355,0.09857143893997866,-0.06275404609725416,0.8813216273070235,-0.015835292564215623,0.09778570007972508,-0.1527778766501456,-0.35553579179138683,0.18282953591531578,-0.7360746633258569,0.3207056640279725,-0.3738483049603966,0.541994774971232,-0.39181237454547996,-0.08071808920531541,0.08435402863447962,-0.4293094922514078,0.27646240896999746,0.5342546292905452,0.1333776987778842,0.3337872008794384,0.17716999582341011,0.9056790124609524,0.8933916253792975,0.2527465172156936,0.3162812487516895,-0.4740218423005303,0.9850348405375929
kurtosis,0.20618115808497423,-0.01916397578832202,,-0.2032325035730955,-0.39149446803265514,-0.3731041865955895,1.0,-0.05038840351292707,-0.013146135019750576,0.0921623242462412,-0.499152785426231,-0.21419095733996493,-0.35156312228142067,0.049234832264918565,0.2295649656641692,-0.06385854233244018,0.5747592027772306,0.09324252483626863,0.31401315103936467,-0.3101540927660096,0.27625279399829855,0.1150254760627815,-0.35354843065257824,0.2216239934210143,-0.22441536444502105,-0.3083381365760114,-0.06607653222441835,-0.14057921697949344,-0.07383058188835352,-0.40604755364666356,-0.3921447945071818,-0.23686735173546616,-0.26625520789124457,0.34662624598550923,-0.3832626971446594
skewness,0.30118808122503316,-0.08759128100894026,,-0.35453820672254727,0.10664149475476171,0.1712395662753355,-0.05038840351292707,1.0,-0.040250444258912575,-0.529680828340851,0.11755671739229531,0.16442493666335348,0.10666504641750407,0.2597697451455653,-0.09073102422464566,0.03229177662350752,0.010735671686648582,0.20720879373914586,-0.12068001430946299,0.3225978848276832,-0.15704052630228968,0.017398082450615915,-0.04736553727706277,-0.002082270479970965,0.30657318303872155,-0.0760202110533604,0.06515692169488801,0.23456496410526603,0.18658641741291052,0.055575820769528536,0.06794185606386542,-0.12625332334816486,-0.1259559911918338,-0.032319603420005935,0.17288258934632492
numberOfZeroCrossing,-0.007889502481198647,-0.09315131601475846,,0.21482369291258097,0.10526491634791156,0.09857143893997866,-0.013146135019750576,-0.040250444258912575,1.0,-0.11201493689035538,0.10335274680895601,0.3383643838859725,0.4261338232839824,0.14168699334301715,0.26818988228713897,-0.005200586875597592,-0.04537000438976783,0.08775961162992403,0.20817545618170705,0.15651822107229726,0.23968498587886006,0.2541445454376083,0.1855360789127767,0.27416251745861825,0.032839942054948654,0.03215161211709101,0.085028851545234,0.2162995671906004,0.23712375884313833,0.07510839524048286,0.09016651278774127,0.002248707091833721,-0.03031155037019631,0.10286683601389744,0.10799615775669302
positiveToNegativeSampleRatio,-0.08564999344873644,0.04008972791554336,,0.3405549214150536,-0.017684632614788382,-0.06275404609725416,0.0921623242462412,-0.529680828340851,-0.11201493689035538,1.0,-0.05339879048688533,-0.20754659418310512,-0.21868721104636177,0.05656184451363426,0.24243987154004248,-0.03967363950580407,-0.02799409493928483,-0.17278343019086453,0.230694305879455,-0.16595314257605293,0.2540335205291067,0.18001792766794159,0.0861629944537113,0.15151417524676777,-0.2726167996795864,0.09862878462083612,-0.0613480710992726,-0.2071082075314684,-0.06279715062951421,0.02607451252376275,0.012929888431677644,0.1455477437959185,0.15527177467423858,0.04183882586879092,-0.06185418880539451
