feature,feature_family,clinical_flag,n_flag_positive,n_flag_negative,n_disagree_flag_positive,n_disagree_flag_negative,prop_disagree_flag_positive,prop_disagree_flag_negative,difference_in_disagreement_proportion_positive_minus_negative,note
HRV_MeanNN,HRV,continuous_AF,3,17,2,3,0.6666666666666666,0.17647058823529413,0.4901960784313725,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_MeanNN,HRV,moderate_or_high_confound,6,14,3,2,0.5,0.14285714285714285,0.35714285714285715,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_MeanNN,HRV,BBB,4,16,2,3,0.5,0.1875,0.3125,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_MeanNN,HRV,antiarrhythmic_exposure,5,15,2,3,0.4,0.2,0.2,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_MeanNN,HRV,paced_or_bbb,6,14,2,3,0.3333333333333333,0.21428571428571427,0.11904761904761904,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_MeanNN,HRV,any_af,6,14,2,3,0.3333333333333333,0.21428571428571427,0.11904761904761904,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_MeanNN,HRV,mechanical_support,3,17,1,4,0.3333333333333333,0.23529411764705882,0.0980392156862745,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_MeanNN,HRV,high_confound,3,17,1,4,0.3333333333333333,0.23529411764705882,0.0980392156862745,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_MeanNN,HRV,hrv_invalid_flag,8,12,2,3,0.25,0.25,0.0,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_MeanNN,HRV,exclude_from_HRV_valid_subgroup,8,12,2,3,0.25,0.25,0.0,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_MeanNN,HRV,paced_or_icd,5,15,1,4,0.2,0.26666666666666666,-0.06666666666666665,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_MeanNN,HRV,known_patient_qc_caution_flag,5,15,1,4,0.2,0.26666666666666666,-0.06666666666666665,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_MeanNN,HRV,known_artifact_patient_flag,5,15,1,4,0.2,0.26666666666666666,-0.06666666666666665,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_MeanNN,HRV,major_HRV_outlier,1,19,0,5,0.0,0.2631578947368421,-0.2631578947368421,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_MeanNN,HRV,intermittent_or_new_AF,3,17,0,5,0.0,0.29411764705882354,-0.29411764705882354,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_MeanNN,HRV,atypical_HI,3,17,0,5,0.0,0.29411764705882354,-0.29411764705882354,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_pNN50,HRV,BBB,4,16,3,4,0.75,0.25,0.5,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_pNN50,HRV,atypical_HI,3,17,2,5,0.6666666666666666,0.29411764705882354,0.3725490196078431,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_pNN50,HRV,high_confound,3,17,2,5,0.6666666666666666,0.29411764705882354,0.3725490196078431,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_pNN50,HRV,antiarrhythmic_exposure,5,15,3,4,0.6,0.26666666666666666,0.3333333333333333,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_pNN50,HRV,known_patient_qc_caution_flag,5,15,3,4,0.6,0.26666666666666666,0.3333333333333333,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
