feature,feature_family,n_paired_patients,median_PreHI,median_HI,median_delta_HI_minus_PreHI,median_percent_change,n_increase,n_decrease,n_no_change,dominant_direction,direction_consistency,wilcoxon_p,rank_biserial_effect_size,bootstrap_median_delta_ci_low,bootstrap_median_delta_ci_high,bootstrap_ci_excludes_zero,n_percent_change_unstable,abs_rank_biserial_effect_size,wilcoxon_p_fdr_global,wilcoxon_p_fdr_family,global_fdr_significant,family_fdr_significant,raw_p_less_0_05,candidate_support_tier_preliminary,missing_count,missing_percent,paired_patient_count,missingness_flag,cluster_id,cluster_size,cluster_type,is_cluster_representative,evidence_raw_p_0_05,evidence_raw_p_0_10,evidence_direction_consistency,evidence_strong_direction_consistency,evidence_effect_size,evidence_strong_effect_size,evidence_bootstrap_ci_excludes_zero,evidence_family_fdr,evidence_global_fdr,evidence_redundancy_representative,score_raw_p,score_effect_size,score_direction_consistency,score_bootstrap,score_fdr,score_redundancy,score_missingness,preliminary_priority_score,preliminary_priority_tier,preliminary_rank,included_in_preliminary_shortlist
kurtosis,time-domain statistics,20,5.98,5.885,0.9924999999999996,24.6866023885912,15,5,0,increase,0.75,0.036233901977539,0.5333333333333333,0.3274999999999999,1.965,1,0,0.5333333333333333,0.4330064047960735,0.3623390197753899,0,0,1,raw_p_effect_direction_supported,0,0.0,20,low_or_no_missingness,singleton_032,1,singleton,1,1,1,1,1,1,1,1,0,0,1,0.8890597267071007,0.8,0.6153846153846154,1.0,0.0,1.0,1.0,7.108888684183432,exploratory_priority_for_review,1,1
HRV_MeanNN,HRV,20,626.025792225,642.4071739,20.759493749999933,3.9719993901506663,15,5,0,increase,0.75,0.0531692504882812,0.4952380952380952,1.6337561499999538,67.20964850000001,1,0,0.4952380952380952,0.4330064047960735,0.1063385009765624,0,0,0,exploratory,1,0.0007936507936507,20,low_or_no_missingness,singleton_013,1,singleton,1,0,1,1,1,1,0,1,0,0,1,0.7862972938569552,0.7428571428571429,0.6153846153846154,1.0,0.0,1.0,0.8000000000000203,6.689078104197438,exploratory_priority_for_review,2,1
HRV_pNN50,HRV,20,44.7382946925,30.966068795,-11.345795360000002,-21.29314522835047,7,13,0,decrease,0.65,0.026641845703125,-0.5619047619047619,-16.897239735000007,0.7701153574999999,0,0,0.5619047619047619,0.4330064047960735,0.1063385009765624,0,0,1,exploratory,1,0.0007936507936507,20,low_or_no_missingness,singleton_014,1,singleton,1,1,1,1,0,1,1,0,0,0,1,0.9714636959194566,0.8428571428571429,0.46153846153846156,0.0,0.0,1.0,0.8000000000000203,5.951718600630132,exploratory_priority_for_review,3,1
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,20,2.3825000000000003,2.3425,-0.2550000000000001,-14.03685937894472,5,13,2,decrease,0.65,0.0346699631509864,-0.5672514619883041,-0.615,0.0,0,0,0.5672514619883041,0.4330064047960735,0.2773597052078912,0,0,1,exploratory,0,0.0,20,low_or_no_missingness,singleton_021,1,singleton,1,1,1,1,0,1,1,0,0,0,1,0.9008829598405186,0.8508771929824562,0.46153846153846156,0.0,0.0,1.0,1.0,5.926597228722873,exploratory_priority_for_review,4,1
fd_minimum,fractal-dimension summary features,20,0.01,0.01,0.0,0.0,2,7,11,no_change,0.55,0.0666163699686267,-0.6666666666666666,-0.0074999999999999,0.0,0,3,0.6666666666666666,0.4330064047960735,0.3419609069824218,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_031,1,singleton,1,0,1,0,0,1,1,0,0,0,1,0.7258780980341909,1.0,0.30769230769230776,0.0,0.0,1.0,1.0,5.567140811452997,exploratory_priority_for_review,5,1
QRS_mean,ECG morphology and signal energy,20,0.1344780522499999,0.1513134615,0.01035768875,5.902619880128842,12,8,0,increase,0.6,0.0239505767822265,0.5714285714285714,-0.0008321007499999,0.0297389859999999,0,0,0.5714285714285714,0.4330064047960735,0.1197528839111325,0,0,1,exploratory,5,0.0039682539682539,20,low_or_no_missingness,singleton_008,1,singleton,1,1,1,0,0,1,1,0,0,0,1,1.0,0.8571428571428571,0.3846153846153846,0.0,0.0,1.0,0.0,5.483516483516484,exploratory_priority_for_review,6,1
fuzzyEntropy,entropy and complexity,20,0.2299999999999999,0.2375,-0.0199999999999999,-10.818713450292393,5,13,2,decrease,0.65,0.0639959686360788,-0.4970760233918128,-0.08,0.0,0,0,0.4970760233918128,0.4330064047960735,0.311622370582791,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,cluster_004,3,correlated_cluster_abs_rho_ge_0_85,1,0,1,1,0,1,0,0,0,0,1,0.7366317961450795,0.7456140350877192,0.46153846153846156,0.0,0.0,1.0,1.0,5.38756858554252,exploratory_priority_for_review,7,1
fd_median,fractal-dimension summary features,20,2.9525,1.86,-0.1624999999999999,-5.47289481032351,7,13,0,decrease,0.65,0.0896949768066406,-0.4380952380952381,-0.6850000000000002,0.105,0,0,0.4380952380952381,0.4532000091079297,0.3419609069824218,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_030,1,singleton,1,0,1,1,0,1,0,0,0,0,1,0.6461665957084429,0.6571428571428571,0.46153846153846156,0.0,0.0,1.0,1.0,5.0296958287795235,exploratory_priority_for_review,8,1
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,20,0.1325,0.14,-0.0149999999999999,-11.43790849673203,3,11,6,decrease,0.55,0.0958692326959082,-0.5047619047619047,-0.0424999999999999,0.0,0,0,0.5047619047619047,0.4532000091079297,0.3365066336124196,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,cluster_007,2,correlated_cluster_abs_rho_ge_0_85,1,0,1,0,0,1,1,0,0,0,1,0.6283277516637444,0.7571428571428571,0.30769230769230776,0.0,0.0,1.0,1.0,4.8863258329978185,exploratory_priority_for_review,9,1
fd_mean,fractal-dimension summary features,20,7.952500000000001,7.12,-0.3650000000000004,-4.860165385789567,7,13,0,decrease,0.65,0.1139869689941406,-0.4095238095238095,-0.7424999999999997,0.1524999999999987,0,0,0.4095238095238095,0.4939435323079426,0.3419609069824218,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_029,1,singleton,1,0,0,1,0,1,0,0,0,0,1,0.5819424272925432,0.6142857142857143,0.46153846153846156,0.0,0.0,1.0,1.0,4.815533206233439,not_prioritized,10,0
sampleEntropy,entropy and complexity,20,0.2675,0.285,-0.0349999999999999,-16.27536231884058,6,13,1,decrease,0.65,0.0640685250312829,-0.4842105263157895,-0.1024999999999999,0.0025,0,0,0.4842105263157895,0.4330064047960735,0.311622370582791,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,cluster_004,3,correlated_cluster_abs_rho_ge_0_85,0,0,1,1,0,1,0,0,0,0,0,0.7363281533619228,0.7263157894736842,0.46153846153846156,0.0,0.0,0.0,1.0,4.348364808748137,exploratory_priority_for_review,11,0
