column,missing_count,missing_percent,dtype
QRS_mean,5,0.3968253968253968,float64
QRS_std,5,0.3968253968253968,float64
R_amp_std,1,0.07936507936507936,float64
HRV_MeanNN,1,0.07936507936507936,float64
HRV_SDNN,1,0.07936507936507936,float64
HRV_RMSSD,1,0.07936507936507936,float64
HRV_pNN50,1,0.07936507936507936,float64
R_amp_mean,1,0.07936507936507936,float64
signal_energy,1,0.07936507936507936,float64
detrendedFluctuation,0,0.0,float64
entropyProfiled_median_sampleEntropy,0,0.0,float64
entropyProfiled_minimum_sampleEntropy,0,0.0,int64
entropyProfiled_maximum_sampleEntropy,0,0.0,float64
entropyProfiled_average_sampleEntropy,0,0.0,float64
entropyProfiled_total_sampleEntropy,0,0.0,float64
Sl_No,0,0.0,int64
entropyProfiled_variance_sampleEntropy,0,0.0,float64
higuchiFd,0,0.0,float64
katzFd,0,0.0,float64
petrosianFd,0,0.0,float64
fisherInfo,0,0.0,float64
entropyProfiled_standardDeviation_sampleEntropy,0,0.0,float64
fd_mean,0,0.0,float64
entropyProfiled_kurtosis_sampleEntropy,0,0.0,float64
entropyProfiled_skewness_sampleEntropy,0,0.0,float64
fd_maximum,0,0.0,float64
fd_minimum,0,0.0,float64
hjorthMobility,0,0.0,float64
fd_median,0,0.0,float64
fd_standardDeviation,0,0.0,float64
fd_variance,0,0.0,float64
fd_kurtosis,0,0.0,float64
fd_skewness,0,0.0,float64
spectralEntropy,0,0.0,float64
fd_bandPower,0,0.0,float64
hjorthComplexity,0,0.0,float64
fuzzyEntropy,0,0.0,float64
lempelZivComplexity,0,0.0,int64
renyiEntropy,0,0.0,float64
Patient_id,0,0.0,object
Class,0,0.0,int64
Condition,0,0.0,object
Episode_Label,0,0.0,object
maximum,0,0.0,float64
minimum,0,0.0,float64
mean,0,0.0,int64
median,0,0.0,float64
standardDeviation,0,0.0,float64
variance,0,0.0,float64
kurtosis,0,0.0,float64
skewness,0,0.0,float64
numberOfZeroCrossing,0,0.0,int64
positiveToNegativeSampleRatio,0,0.0,float64
positiveToNegativePeakRatio,0,0.0,int64
meanAbsoluteValue,0,0.0,float64
approximateEntropy,0,0.0,float64
sampleEntropy,0,0.0,float64
permutationEntropy,0,0.0,float64
singularValueDecompositionEntropy,0,0.0,float64
Segment_Number,0,0.0,int64
distributionEntropy,0,0.0,float64
shannonEntropy,0,0.0,float64
Condition_std,0,0.0,object
