feature,feature_family,missing_count,missing_percent,non_missing_count,unique_non_missing_values,paired_patient_count,missingness_flag,included,exclusion_reason
QRS_mean,ECG morphology and signal energy,5,0.003968253968253968,1255,1232,20,low_or_no_missingness,True,
QRS_std,ECG morphology and signal energy,5,0.003968253968253968,1255,1250,20,low_or_no_missingness,True,
R_amp_mean,ECG morphology and signal energy,1,0.0007936507936507937,1259,1259,20,low_or_no_missingness,True,
R_amp_std,ECG morphology and signal energy,1,0.0007936507936507937,1259,1259,20,low_or_no_missingness,True,
signal_energy,ECG morphology and signal energy,1,0.0007936507936507937,1259,1259,20,low_or_no_missingness,True,
HRV_MeanNN,HRV,1,0.0007936507936507937,1259,1202,20,low_or_no_missingness,True,
HRV_RMSSD,HRV,1,0.0007936507936507937,1259,1258,20,low_or_no_missingness,True,
HRV_SDNN,HRV,1,0.0007936507936507937,1259,1259,20,low_or_no_missingness,True,
HRV_pNN50,HRV,1,0.0007936507936507937,1259,1118,20,low_or_no_missingness,True,
approximateEntropy,entropy and complexity,0,0.0,1260,106,20,low_or_no_missingness,True,
distributionEntropy,entropy and complexity,0,0.0,1260,39,20,low_or_no_missingness,True,
fuzzyEntropy,entropy and complexity,0,0.0,1260,76,20,low_or_no_missingness,True,
hjorthComplexity,entropy and complexity,0,0.0,1260,258,20,low_or_no_missingness,True,
lempelZivComplexity,entropy and complexity,0,0.0,1260,118,20,low_or_no_missingness,True,
permutationEntropy,entropy and complexity,0,0.0,1260,83,20,low_or_no_missingness,True,
renyiEntropy,entropy and complexity,0,0.0,1260,419,20,low_or_no_missingness,True,
sampleEntropy,entropy and complexity,0,0.0,1260,96,20,low_or_no_missingness,True,
singularValueDecompositionEntropy,entropy and complexity,0,0.0,1260,77,20,low_or_no_missingness,True,
spectralEntropy,entropy and complexity,0,0.0,1260,258,20,low_or_no_missingness,True,
entropyProfiled_average_sampleEntropy,entropy-profile aggregate features,0,0.0,1260,13,20,low_or_no_missingness,True,
entropyProfiled_kurtosis_sampleEntropy,entropy-profile aggregate features,0,0.0,1260,1222,20,low_or_no_missingness,True,
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,0,0.0,1260,392,20,low_or_no_missingness,True,
entropyProfiled_median_sampleEntropy,entropy-profile aggregate features,0,0.0,1260,5,20,low_or_no_missingness,True,
entropyProfiled_skewness_sampleEntropy,entropy-profile aggregate features,0,0.0,1260,720,20,low_or_no_missingness,True,
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,0,0.0,1260,37,20,low_or_no_missingness,True,
entropyProfiled_total_sampleEntropy,entropy-profile aggregate features,0,0.0,1260,1180,20,low_or_no_missingness,True,
entropyProfiled_variance_sampleEntropy,entropy-profile aggregate features,0,0.0,1260,16,20,low_or_no_missingness,True,
detrendedFluctuation,fractal and nonlinear dynamics,0,0.0,1260,61,20,low_or_no_missingness,True,
fisherInfo,fractal and nonlinear dynamics,0,0.0,1260,37,20,low_or_no_missingness,True,
higuchiFd,fractal and nonlinear dynamics,0,0.0,1260,63,20,low_or_no_missingness,True,
hjorthMobility,fractal and nonlinear dynamics,0,0.0,1260,67,20,low_or_no_missingness,True,
katzFd,fractal and nonlinear dynamics,0,0.0,1260,190,20,low_or_no_missingness,True,
petrosianFd,fractal and nonlinear dynamics,0,0.0,1260,3,20,low_or_no_missingness,True,
fd_bandPower,fractal-dimension summary features,0,0.0,1260,9,20,low_or_no_missingness,True,
fd_kurtosis,fractal-dimension summary features,0,0.0,1260,1232,20,low_or_no_missingness,True,
fd_maximum,fractal-dimension summary features,0,0.0,1260,1254,20,low_or_no_missingness,True,
fd_mean,fractal-dimension summary features,0,0.0,1260,823,20,low_or_no_missingness,True,
fd_median,fractal-dimension summary features,0,0.0,1260,482,20,low_or_no_missingness,True,
fd_minimum,fractal-dimension summary features,0,0.0,1260,14,20,low_or_no_missingness,True,
fd_skewness,fractal-dimension summary features,0,0.0,1260,922,20,low_or_no_missingness,True,
fd_standardDeviation,fractal-dimension summary features,0,0.0,1260,1005,20,low_or_no_missingness,True,
fd_variance,fractal-dimension summary features,0,0.0,1260,1251,20,low_or_no_missingness,True,
kurtosis,time-domain statistics,0,0.0,1260,843,20,low_or_no_missingness,True,
maximum,time-domain statistics,0,0.0,1260,143,20,low_or_no_missingness,True,
meanAbsoluteValue,time-domain statistics,0,0.0,1260,29,20,low_or_no_missingness,True,
median,time-domain statistics,0,0.0,1260,16,20,low_or_no_missingness,True,
minimum,time-domain statistics,0,0.0,1260,159,20,low_or_no_missingness,True,
numberOfZeroCrossing,time-domain statistics,0,0.0,1260,865,20,low_or_no_missingness,True,
positiveToNegativeSampleRatio,time-domain statistics,0,0.0,1260,296,20,low_or_no_missingness,True,
skewness,time-domain statistics,0,0.0,1260,536,20,low_or_no_missingness,True,
standardDeviation,time-domain statistics,0,0.0,1260,40,20,low_or_no_missingness,True,
variance,time-domain statistics,0,0.0,1260,20,20,low_or_no_missingness,True,
