feature,feature_family,excluded_patient_id,n_paired_patients,median_PreHI,median_HI,median_delta_HI_minus_PreHI,n_increase,n_decrease,n_no_change,dominant_direction,direction_consistency,wilcoxon_p,rank_biserial_effect_size,bootstrap_median_delta_ci_low,bootstrap_median_delta_ci_high,bootstrap_ci_excludes_zero,loo_status,analysis_type,baseline_dominant_direction,baseline_median_delta_HI_minus_PreHI,baseline_direction_consistency,baseline_wilcoxon_p,baseline_rank_biserial_effect_size,baseline_bootstrap_ci_excludes_zero,direction_matches_baseline,median_delta_sign_matches_baseline,direction_consistency_drop,p_value_ratio_vs_baseline,potentially_influential_patient_flag
kurtosis,time-domain statistics,,20,5.98,5.885,0.9924999999999997,15,5,0,increase,0.75,0.03623390197753906,0.5333333333333333,0.32749999999999996,1.9649999999999999,1,adequate_sample_size,baseline_all_patients,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,1,0.0,1.0,0
kurtosis,time-domain statistics,10013,19,5.75,5.67,0.8499999999999996,14,5,0,increase,0.7368421052631579,0.05457305908203125,0.5052631578947369,0.125,1.7299999999999986,1,adequate_sample_size,leave_one_patient_out,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,1,0.013157894736842146,1.5061325472443017,0
kurtosis,time-domain statistics,1049,19,5.75,5.67,0.8499999999999996,14,5,0,increase,0.7368421052631579,0.06628799438476562,0.4842105263157895,0.125,1.7299999999999986,1,adequate_sample_size,leave_one_patient_out,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,1,0.013157894736842146,1.82944675475075,0
kurtosis,time-domain statistics,1855,19,6.210000000000001,5.67,0.8499999999999996,14,5,0,increase,0.7368421052631579,0.06628799438476562,0.4842105263157895,0.125,1.7299999999999986,1,adequate_sample_size,leave_one_patient_out,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,1,0.013157894736842146,1.82944675475075,0
kurtosis,time-domain statistics,26398,19,6.210000000000001,6.1,1.1349999999999998,14,5,0,increase,0.7368421052631579,0.044559478759765625,0.5263157894736842,0.125,2.200000000000001,1,adequate_sample_size,leave_one_patient_out,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,1,0.013157894736842146,1.2297731220719061,0
kurtosis,time-domain statistics,26502,19,5.75,5.67,0.8499999999999996,14,5,0,increase,0.7368421052631579,0.049365997314453125,0.5157894736842106,0.125,2.200000000000001,1,adequate_sample_size,leave_one_patient_out,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,1,0.013157894736842146,1.362425646154656,0
kurtosis,time-domain statistics,27245,19,6.210000000000001,6.1,1.1349999999999998,15,4,0,increase,0.7894736842105263,0.036067962646484375,0.5473684210526316,0.5299999999999999,2.200000000000001,1,adequate_sample_size,leave_one_patient_out,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,1,-0.03947368421052633,0.9954203295257146,0
kurtosis,time-domain statistics,30071,19,6.210000000000001,6.1,1.1349999999999998,14,5,0,increase,0.7368421052631579,0.049365997314453125,0.5157894736842106,0.125,2.200000000000001,1,adequate_sample_size,leave_one_patient_out,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,1,0.013157894736842146,1.362425646154656,0
kurtosis,time-domain statistics,30851,19,5.75,5.67,0.8499999999999996,14,5,0,increase,0.7368421052631579,0.05457305908203125,0.5052631578947369,0.125,2.200000000000001,1,adequate_sample_size,leave_one_patient_out,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,1,0.013157894736842146,1.5061325472443017,0
kurtosis,time-domain statistics,491,19,6.210000000000001,6.1,1.1349999999999998,15,4,0,increase,0.7894736842105263,0.020412445068359375,0.6,0.5299999999999999,2.200000000000001,1,adequate_sample_size,leave_one_patient_out,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,1,-0.03947368421052633,0.5633521082276148,0
kurtosis,time-domain statistics,57091,19,6.210000000000001,5.67,0.8499999999999996,14,5,0,increase,0.7368421052631579,0.05457305908203125,0.5052631578947369,0.125,1.7299999999999986,1,adequate_sample_size,leave_one_patient_out,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,1,0.013157894736842146,1.5061325472443017,0
kurtosis,time-domain statistics,59285,19,6.210000000000001,6.1,1.1349999999999998,14,5,0,increase,0.7368421052631579,0.040130615234375,0.5368421052631579,0.5299999999999999,2.200000000000001,1,adequate_sample_size,leave_one_patient_out,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,1,0.013157894736842146,1.1075432963099436,0
kurtosis,time-domain statistics,638,19,5.75,5.67,1.1349999999999998,15,4,0,increase,0.7894736842105263,0.0289306640625,0.5684210526315789,0.5299999999999999,2.200000000000001,1,adequate_sample_size,leave_one_patient_out,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,1,-0.03947368421052633,0.7984418592409328,0
kurtosis,time-domain statistics,70447,19,6.210000000000001,6.1,1.1349999999999998,14,5,0,increase,0.7368421052631579,0.044559478759765625,0.5263157894736842,0.125,2.200000000000001,1,adequate_sample_size,leave_one_patient_out,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,1,0.013157894736842146,1.2297731220719061,0
