feature,feature_family,lmm_status,n_segments,n_patients,beta_condition_HI,p_condition_HI,converged,lmm_direction,primary_dominant_direction,lmm_agrees_with_primary_direction,primary_wilcoxon_p,primary_rank_biserial_effect_size,primary_direction_consistency,notes,p_condition_HI_fdr,lmm_raw_p_less_0_05,lmm_fdr_significant
QRS_mean,ECG morphology and signal energy,fit_success,1255,20,0.487953003190904,4.0448454806335614e-50,1,increase,increase,1.0,0.0239505767822265,0.5714285714285714,0.6,,2.1033196499294517e-48,1,1
approximateEntropy,entropy and complexity,fit_success,1260,20,-0.40415864960446707,6.3813365508567625e-31,1,decrease,decrease,1.0,0.0934867111748373,-0.4502923976608187,0.55,,1.659147503222758e-29,1,1
sampleEntropy,entropy and complexity,fit_success,1260,20,-0.36354464277871623,4.2177354816734126e-28,1,decrease,decrease,1.0,0.0640685250312829,-0.4842105263157895,0.65,,7.310741501567248e-27,1,1
HRV_pNN50,HRV,fit_success,1259,20,-0.37967573073265887,9.989891259706406e-28,1,decrease,decrease,1.0,0.026641845703125,-0.5619047619047619,0.65,,1.2986858637618327e-26,1,1
fuzzyEntropy,entropy and complexity,fit_success,1260,20,-0.3551711711394224,1.015984805624826e-26,1,decrease,decrease,1.0,0.0639959686360788,-0.4970760233918128,0.65,,1.056624197849819e-25,1,1
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,fit_success,1260,20,-0.26217596949438843,5.197975533972707e-17,1,decrease,decrease,1.0,0.0346699631509864,-0.5672514619883041,0.65,,4.504912129443013e-16,1,1
singularValueDecompositionEntropy,entropy and complexity,fit_success,1260,20,-0.18557587979677137,3.034129733377232e-16,1,decrease,tie_or_mixed,,0.4663884458106656,-0.1857142857142857,0.5,,2.253924944794515e-15,1,1
entropyProfiled_variance_sampleEntropy,entropy-profile aggregate features,fit_success,1260,20,-0.3187818476776887,8.953009864831484e-16,1,decrease,no_change,0.0,0.1682533168062098,-0.4909090909090909,0.5,,5.819456412140464e-15,1,1
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,fit_success,1260,20,-0.2853007702511763,3.2503134491106882e-15,1,decrease,decrease,1.0,0.0958692326959082,-0.5047619047619047,0.55,,1.8779588817083977e-14,1,1
fd_mean,fractal-dimension summary features,fit_success,1260,20,-0.20994768060789554,1.1344298288152513e-14,1,decrease,decrease,1.0,0.1139869689941406,-0.4095238095238095,0.65,,5.899035109839306e-14,1,1
entropyProfiled_total_sampleEntropy,entropy-profile aggregate features,fit_success,1260,20,-0.20076421386069934,1.4358117209458727e-13,1,decrease,decrease,1.0,0.1429061889648437,-0.3809523809523809,0.55,,6.787473589925944e-13,1,1
fd_median,fractal-dimension summary features,fit_success,1260,20,-0.21940455816650262,4.113197813824044e-12,1,decrease,decrease,1.0,0.0896949768066406,-0.4380952380952381,0.65,,1.782385719323752e-11,1,1
fisherInfo,fractal and nonlinear dynamics,fit_success,1260,20,-0.1607216779795263,4.8778649781017815e-12,1,decrease,tie_or_mixed,,0.4985342407499642,-0.1812865497076023,0.45,,1.9511459912407126e-11,1,1
higuchiFd,fractal and nonlinear dynamics,fit_success,1260,20,-0.17071728053855725,1.3168497938351402e-11,1,decrease,decrease,1.0,0.2572222486854265,-0.3040935672514619,0.5,,4.8911563771019495e-11,1,1
hjorthMobility,fractal and nonlinear dynamics,fit_success,1260,20,-0.135867768001226,3.544632332947109e-08,1,decrease,increase,0.0,0.5062190413776009,-0.1736842105263158,0.5,,1.2288058754216648e-07,1,1
minimum,time-domain statistics,fit_success,1260,20,0.16547589742994467,1.1916315704503337e-06,1,increase,increase,1.0,0.6723162484711958,0.1105263157894736,0.5,,3.8728026039635845e-06,1,1
maximum,time-domain statistics,fit_success,1260,20,-0.19715576640410623,5.678434903671451e-06,1,decrease,decrease,1.0,0.2511340120662142,-0.3,0.6,,1.736933029358326e-05,1,1
spectralEntropy,entropy and complexity,fit_success,1260,20,-0.1184701188762521,1.1810213823433898e-05,1,decrease,tie_or_mixed,,0.3410214366810602,-0.2428571428571428,0.5,,3.411839548992015e-05,1,1
lempelZivComplexity,entropy and complexity,fit_success,1260,20,-0.1428749457693295,3.9060521405559525e-05,1,decrease,no_change,0.0,0.4760334929424296,-0.2424242424242424,0.45,,0.00010690247963626818,1,1
R_amp_mean,ECG morphology and signal energy,fit_success,1259,20,-0.0999040298252111,5.131388748454863e-05,1,decrease,decrease,1.0,0.3117942810058594,-0.2666666666666666,0.6,,0.00013341610745982644,1,1
