feature,feature_family,n_paired_patients,median_PreHI,median_HI,median_delta_HI_minus_PreHI,median_percent_change,n_increase,n_decrease,n_no_change,dominant_direction,direction_consistency,wilcoxon_p,rank_biserial_effect_size,bootstrap_median_delta_ci_low,bootstrap_median_delta_ci_high,bootstrap_ci_excludes_zero,n_percent_change_unstable,abs_rank_biserial_effect_size
QRS_mean,ECG morphology and signal energy,20,0.13447805224999998,0.1513134615,0.01035768875,5.902619880128842,12,8,0,increase,0.6,0.023950576782226562,0.5714285714285714,-0.00083210074999995,0.02973898599999995,0,0,0.5714285714285714
HRV_pNN50,HRV,20,44.7382946925,30.966068794999998,-11.345795360000002,-21.29314522835047,7,13,0,decrease,0.65,0.026641845703125,-0.5619047619047619,-16.897239735000007,0.7701153574999999,0,0,0.5619047619047619
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,20,2.3825000000000003,2.3425000000000002,-0.2550000000000001,-14.036859378944719,5,13,2,decrease,0.65,0.034669963150986444,-0.5672514619883041,-0.615,0.0,0,0,0.5672514619883041
kurtosis,time-domain statistics,20,5.98,5.885,0.9924999999999997,24.6866023885912,15,5,0,increase,0.75,0.03623390197753906,0.5333333333333333,0.32749999999999996,1.9649999999999999,1,0,0.5333333333333333
HRV_MeanNN,HRV,20,626.025792225,642.4071739,20.759493749999933,3.9719993901506663,15,5,0,increase,0.75,0.05316925048828125,0.49523809523809526,1.6337561499999538,67.20964850000001,1,0,0.49523809523809526
fuzzyEntropy,entropy and complexity,20,0.22999999999999998,0.2375,-0.0199999999999999,-10.818713450292393,5,13,2,decrease,0.65,0.06399596863607887,-0.49707602339181284,-0.08,0.0,0,0,0.49707602339181284
sampleEntropy,entropy and complexity,20,0.2675,0.28500000000000003,-0.03499999999999995,-16.27536231884058,6,13,1,decrease,0.65,0.06406852503128298,-0.4842105263157895,-0.1024999999999999,0.0025,0,0,0.4842105263157895
fd_minimum,fractal-dimension summary features,20,0.01,0.01,0.0,0.0,2,7,11,no_change,0.55,0.06661636996862676,-0.6666666666666666,-0.00749999999999995,0.0,0,3,0.6666666666666666
fd_median,fractal-dimension summary features,20,2.9525,1.86,-0.16249999999999995,-5.47289481032351,7,13,0,decrease,0.65,0.08969497680664062,-0.4380952380952381,-0.6850000000000002,0.10500000000000005,0,0,0.4380952380952381
approximateEntropy,entropy and complexity,20,0.46499999999999997,0.41000000000000003,-0.032499999999999904,-6.874115983026867,7,11,2,decrease,0.55,0.09348671117483734,-0.4502923976608187,-0.13499999999999995,0.01,0,0,0.4502923976608187
