feature,feature_family,n_paired_patients,median_PreHI,median_HI,median_delta_HI_minus_PreHI,median_percent_change,n_increase,n_decrease,n_no_change,dominant_direction,direction_consistency,wilcoxon_p,rank_biserial_effect_size,bootstrap_median_delta_ci_low,bootstrap_median_delta_ci_high,bootstrap_ci_excludes_zero,n_percent_change_unstable,abs_rank_biserial_effect_size,wilcoxon_p_fdr_global,wilcoxon_p_fdr_family,global_fdr_significant,family_fdr_significant,raw_p_less_0_05,candidate_support_tier_preliminary
QRS_mean,ECG morphology and signal energy,20,0.1344780522499999,0.1513134615,0.01035768875,5.902619880128842,12,8,0,increase,0.6,0.0239505767822265,0.5714285714285714,-0.0008321007499999,0.0297389859999999,0,0,0.5714285714285714,0.43300640479607355,0.1197528839111325,0,0,1,exploratory
HRV_pNN50,HRV,20,44.7382946925,30.966068795,-11.345795360000002,-21.29314522835047,7,13,0,decrease,0.65,0.026641845703125,-0.5619047619047619,-16.897239735000007,0.7701153574999999,0,0,0.5619047619047619,0.43300640479607355,0.1063385009765624,0,0,1,exploratory
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,20,2.3825000000000003,2.3425,-0.2550000000000001,-14.03685937894472,5,13,2,decrease,0.65,0.0346699631509864,-0.5672514619883041,-0.615,0.0,0,0,0.5672514619883041,0.43300640479607355,0.2773597052078912,0,0,1,exploratory
kurtosis,time-domain statistics,20,5.98,5.885,0.9924999999999996,24.6866023885912,15,5,0,increase,0.75,0.036233901977539,0.5333333333333333,0.3274999999999999,1.965,1,0,0.5333333333333333,0.43300640479607355,0.36233901977538996,0,0,1,raw_p_effect_direction_supported
HRV_MeanNN,HRV,20,626.025792225,642.4071739,20.759493749999933,3.9719993901506663,15,5,0,increase,0.75,0.0531692504882812,0.4952380952380952,1.6337561499999538,67.20964850000001,1,0,0.4952380952380952,0.43300640479607355,0.1063385009765624,0,0,0,exploratory
fuzzyEntropy,entropy and complexity,20,0.2299999999999999,0.2375,-0.0199999999999999,-10.818713450292393,5,13,2,decrease,0.65,0.0639959686360788,-0.4970760233918128,-0.08,0.0,0,0,0.4970760233918128,0.43300640479607355,0.311622370582791,0,0,0,exploratory
sampleEntropy,entropy and complexity,20,0.2675,0.285,-0.0349999999999999,-16.27536231884058,6,13,1,decrease,0.65,0.0640685250312829,-0.4842105263157895,-0.1024999999999999,0.0025,0,0,0.4842105263157895,0.43300640479607355,0.311622370582791,0,0,0,exploratory
fd_minimum,fractal-dimension summary features,20,0.01,0.01,0.0,0.0,2,7,11,no_change,0.55,0.0666163699686267,-0.6666666666666666,-0.0074999999999999,0.0,0,3,0.6666666666666666,0.43300640479607355,0.3419609069824218,0,0,0,exploratory
fd_median,fractal-dimension summary features,20,2.9525,1.86,-0.1624999999999999,-5.47289481032351,7,13,0,decrease,0.65,0.0896949768066406,-0.4380952380952381,-0.6850000000000002,0.105,0,0,0.4380952380952381,0.4532000091079297,0.3419609069824218,0,0,0,exploratory
approximateEntropy,entropy and complexity,20,0.4649999999999999,0.41,-0.0324999999999999,-6.874115983026867,7,11,2,decrease,0.55,0.0934867111748373,-0.4502923976608187,-0.1349999999999999,0.01,0,0,0.4502923976608187,0.4532000091079297,0.311622370582791,0,0,0,exploratory
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,20,0.1325,0.14,-0.0149999999999999,-11.43790849673203,3,11,6,decrease,0.55,0.0958692326959082,-0.5047619047619047,-0.0424999999999999,0.0,0,0,0.5047619047619047,0.4532000091079297,0.3365066336124196,0,0,0,exploratory
fd_mean,fractal-dimension summary features,20,7.952500000000001,7.12,-0.3650000000000004,-4.860165385789567,7,13,0,decrease,0.65,0.1139869689941406,-0.4095238095238095,-0.7424999999999997,0.1524999999999987,0,0,0.4095238095238095,0.4939435323079426,0.3419609069824218,0,0,0,exploratory
entropyProfiled_total_sampleEntropy,entropy-profile aggregate features,20,66.0275,62.655,-3.2475000000000023,-4.286467584369452,9,11,0,decrease,0.55,0.1429061889648437,-0.3809523809523809,-9.6725,0.6225000000000023,0,0,0.3809523809523809,0.5716247558593748,0.3365066336124196,0,0,0,exploratory
entropyProfiled_variance_sampleEntropy,entropy-profile aggregate features,20,0.02,0.02,0.0,0.0,2,8,10,no_change,0.5,0.1682533168062098,-0.4909090909090909,-0.01,0.0,0,0,0.4909090909090909,0.6203346117998262,0.3365066336124196,0,0,0,exploratory
signal_energy,ECG morphology and signal energy,20,12857.3124275,13373.7877625,174.67302500000005,1.2916864415971647,13,7,0,increase,0.65,0.1893482208251953,0.3428571428571428,-47.19377499999973,433.0223725000006,0,0,0.3428571428571428,0.6203346117998262,0.4733705520629883,0,0,0,exploratory
katzFd,fractal and nonlinear dynamics,20,3.0275,2.9875,-0.0524999999999997,-1.6761991916418748,7,12,1,decrease,0.6,0.1908721882461004,-0.3421052631578947,-0.1425,0.0349999999999999,0,0,0.3421052631578947,0.6203346117998262,0.7593285620664013,0,0,0,exploratory
entropyProfiled_skewness_sampleEntropy,entropy-profile aggregate features,20,8.7725,8.86,0.2599999999999997,2.987861066808435,12,8,0,increase,0.6,0.2454872131347656,0.3047619047619048,-0.1174999999999997,0.5949999999999989,0,0,0.3047619047619048,0.6687778465821088,0.39277954101562496,0,0,0,exploratory
