cluster_id,representative_feature,cluster_size,cluster_type,representative_feature_family,representative_priority_score,wilcoxon_p,wilcoxon_p_fdr_global,wilcoxon_p_fdr_family,direction_consistency,rank_biserial_effect_size,abs_rank_biserial_effect_size,dominant_direction,bootstrap_ci_excludes_zero,cluster_members
singleton_032,kurtosis,1,singleton,time-domain statistics,5.608888684183432,0.036233901977539,0.4330064047960735,0.3623390197753899,0.75,0.5333333333333333,0.5333333333333333,increase,1,kurtosis
singleton_013,HRV_MeanNN,1,singleton,HRV,5.2890781041974275,0.0531692504882812,0.4330064047960735,0.1063385009765624,0.75,0.4952380952380952,0.4952380952380952,increase,1,HRV_MeanNN
singleton_014,HRV_pNN50,1,singleton,HRV,4.551718600630122,0.026641845703125,0.4330064047960735,0.1063385009765624,0.65,-0.5619047619047619,0.5619047619047619,decrease,0,HRV_pNN50
singleton_008,QRS_mean,1,singleton,ECG morphology and signal energy,4.483516483516484,0.0239505767822265,0.4330064047960735,0.1197528839111325,0.6,0.5714285714285714,0.5714285714285714,increase,0,QRS_mean
singleton_021,entropyProfiled_maximum_sampleEntropy,1,singleton,entropy-profile aggregate features,4.426597228722873,0.0346699631509864,0.4330064047960735,0.2773597052078912,0.65,-0.5672514619883041,0.5672514619883041,decrease,0,entropyProfiled_maximum_sampleEntropy
singleton_031,fd_minimum,1,singleton,fractal-dimension summary features,4.067140811452997,0.0666163699686267,0.4330064047960735,0.3419609069824218,0.55,-0.6666666666666666,0.6666666666666666,no_change,0,fd_minimum
cluster_004,fuzzyEntropy,3,correlated_cluster_abs_rho_ge_0_85,entropy and complexity,3.88756858554252,0.0639959686360788,0.4330064047960735,0.311622370582791,0.65,-0.4970760233918128,0.4970760233918128,decrease,0,approximateEntropy; fuzzyEntropy; sampleEntropy
singleton_030,fd_median,1,singleton,fractal-dimension summary features,3.5296958287795235,0.0896949768066406,0.4532000091079297,0.3419609069824218,0.65,-0.4380952380952381,0.4380952380952381,decrease,0,fd_median
cluster_007,entropyProfiled_standardDeviation_sampleEntropy,2,correlated_cluster_abs_rho_ge_0_85,entropy-profile aggregate features,3.3863258329978185,0.0958692326959082,0.4532000091079297,0.3365066336124196,0.55,-0.5047619047619047,0.5047619047619047,decrease,0,entropyProfiled_standardDeviation_sampleEntropy; entropyProfiled_variance_sampleEntropy
singleton_029,fd_mean,1,singleton,fractal-dimension summary features,3.3155332062334386,0.1139869689941406,0.4939435323079426,0.3419609069824218,0.65,-0.4095238095238095,0.4095238095238095,decrease,0,fd_mean
singleton_012,signal_energy,1,singleton,ECG morphology and signal energy,2.8435418495434157,0.1893482208251953,0.6203346117998262,0.4733705520629883,0.65,0.3428571428571428,0.3428571428571428,increase,0,signal_energy
singleton_023,entropyProfiled_total_sampleEntropy,1,singleton,entropy-profile aggregate features,2.800948356499751,0.1429061889648437,0.5716247558593748,0.3365066336124196,0.55,-0.3809523809523809,0.3809523809523809,decrease,0,entropyProfiled_total_sampleEntropy
singleton_026,katzFd,1,singleton,fractal and nonlinear dynamics,2.6831438165875614,0.1908721882461004,0.6203346117998262,0.7593285620664013,0.6,-0.3421052631578947,0.3421052631578947,decrease,0,katzFd
cluster_003,entropyProfiled_skewness_sampleEntropy,2,correlated_cluster_abs_rho_ge_0_85,entropy-profile aggregate features,2.4362494228939697,0.2454872131347656,0.6687778465821088,0.3927795410156249,0.6,0.3047619047619048,0.3047619047619048,increase,0,entropyProfiled_kurtosis_sampleEntropy; entropyProfiled_skewness_sampleEntropy
singleton_037,numberOfZeroCrossing,1,singleton,time-domain statistics,2.4362494228939697,0.2454872131347656,0.6687778465821088,0.8371133735540475,0.6,-0.3047619047619048,0.3047619047619048,decrease,0,numberOfZeroCrossing
singleton_033,maximum,1,singleton,time-domain statistics,2.409775448445802,0.2511340120662142,0.6687778465821088,0.8371133735540475,0.6,-0.3,0.3,decrease,0,maximum
singleton_010,R_amp_mean,1,singleton,ECG morphology and signal energy,2.1938211862344756,0.3117942810058594,0.7720620291573661,0.5196571350097656,0.6,-0.2666666666666666,0.2666666666666666,decrease,0,R_amp_mean
singleton_025,higuchiFd,1,singleton,fractal and nonlinear dynamics,2.1015260585346174,0.2572222486854265,0.6687778465821088,0.7593285620664013,0.5,-0.3040935672514619,0.3040935672514619,decrease,0,higuchiFd
singleton_028,fd_bandPower,1,singleton,fractal-dimension summary features,2.0,1.0,1.0,1.0,1.0,0.0,0.0,no_change,0,fd_bandPower
singleton_019,spectralEntropy,1,singleton,entropy and complexity,1.7666791825436308,0.3410214366810602,0.8060506685188696,0.716412684074792,0.5,-0.2428571428571428,0.2428571428571428,tie_or_mixed,0,spectralEntropy
singleton_011,R_amp_std,1,singleton,ECG morphology and signal energy,1.6957333910172463,0.4304332733154297,0.9077031086770774,0.5380415916442871,0.55,-0.2095238095238095,0.2095238095238095,decrease,0,R_amp_std
singleton_016,hjorthComplexity,1,singleton,entropy and complexity,1.567344884308219,0.5458845697561467,0.9313364892972296,0.716412684074792,0.6,-0.1578947368421052,0.1578947368421052,decrease,0,hjorthComplexity
singleton_017,lempelZivComplexity,1,singleton,entropy and complexity,1.4327754474870766,0.4760334929424296,0.9077031086770774,0.716412684074792,0.45,-0.2424242424242424,0.2424242424242424,no_change,0,lempelZivComplexity
cluster_005,singularValueDecompositionEntropy,3,correlated_cluster_abs_rho_ge_0_85,entropy and complexity,1.4274620710576347,0.4663884458106656,0.9077031086770774,0.716412684074792,0.5,-0.1857142857142857,0.1857142857142857,tie_or_mixed,0,fisherInfo; hjorthMobility; singularValueDecompositionEntropy
cluster_006,HRV_SDNN,2,correlated_cluster_abs_rho_ge_0_85,HRV,1.3732285897256453,0.5705966949462891,0.9313364892972296,0.6476554870605469,0.55,-0.1523809523809524,0.1523809523809524,decrease,0,HRV_RMSSD; HRV_SDNN
singleton_022,entropyProfiled_median_sampleEntropy,1,singleton,entropy-profile aggregate features,1.3638472398373072,0.4973466588212234,0.9077031086770774,0.5683961815099696,0.45,0.2272727272727272,0.2272727272727272,no_change,0,entropyProfiled_median_sampleEntropy
cluster_001,renyiEntropy,5,correlated_cluster_abs_rho_ge_0_85,entropy and complexity,1.3558166875952056,0.5731301472598336,0.9313364892972296,0.716412684074792,0.55,0.1473684210526315,0.1473684210526315,increase,0,fd_standardDeviation; fd_variance; renyiEntropy; standardDeviation; variance
singleton_027,petrosianFd,1,singleton,fractal and nonlinear dynamics,1.2475170460223075,0.763024600552995,0.9626522350658362,0.915629520663594,0.6,0.1111111111111111,0.1111111111111111,no_change,0,petrosianFd
singleton_018,permutationEntropy,1,singleton,entropy and complexity,1.020238188212696,0.8405177356132087,0.9626522350658362,0.8405177356132087,0.6,-0.0526315789473684,0.0526315789473684,increase,0,permutationEntropy
singleton_020,entropyProfiled_average_sampleEntropy,1,singleton,entropy-profile aggregate features,1.0192437033195743,0.7202301969573564,0.9626522350658362,0.7202301969573564,0.5,-0.1272727272727272,0.1272727272727272,no_change,0,entropyProfiled_average_sampleEntropy
singleton_036,minimum,1,singleton,time-domain statistics,1.0058996541164507,0.6723162484711958,0.9626522350658362,0.9256271491017656,0.5,0.1105263157894736,0.1105263157894736,increase,0,minimum
singleton_039,skewness,1,singleton,time-domain statistics,0.9742886541758561,0.7841262817382812,0.9626522350658362,0.9256271491017656,0.55,-0.0761904761904762,0.0761904761904762,increase,0,skewness
singleton_034,meanAbsoluteValue,1,singleton,time-domain statistics,0.8926180825031488,0.8243083271555138,0.9626522350658362,0.9256271491017656,0.55,-0.0578947368421052,0.0578947368421052,decrease,0,meanAbsoluteValue
singleton_035,median,1,singleton,time-domain statistics,0.7717608352051205,0.5961126657233238,0.9393290490185708,0.9256271491017656,0.35,-0.1648351648351648,0.1648351648351648,tie_or_mixed,0,median
singleton_015,distributionEntropy,1,singleton,entropy and complexity,0.6863588676025616,0.7758498559997214,0.9626522350658362,0.8405177356132087,0.45,-0.0808823529411764,0.0808823529411764,decrease,0,distributionEntropy
cluster_002,fd_maximum,3,correlated_cluster_abs_rho_ge_0_85,fractal-dimension summary features,0.6793473225492562,0.8694877624511719,0.9626522350658362,1.0,0.5,0.0476190476190476,0.0476190476190476,tie_or_mixed,0,fd_kurtosis; fd_maximum; fd_skewness
singleton_009,QRS_std,1,singleton,ECG morphology and signal energy,0.6332940069811352,0.8983173370361328,0.9626522350658362,0.8983173370361328,0.5,0.0380952380952381,0.0380952380952381,tie_or_mixed,0,QRS_std
singleton_038,positiveToNegativeSampleRatio,1,singleton,time-domain statistics,0.5743864772434597,0.9256271491017656,0.9626522350658362,0.9256271491017656,0.5,0.0238095238095238,0.0238095238095238,tie_or_mixed,0,positiveToNegativeSampleRatio
