feature_a,feature_b,spearman_rho_within_patient_centered,abs_rho,redundancy_level
fd_standardDeviation,fd_variance,0.985340313379566,0.985340313379566,high_abs_rho_ge_0_90
fd_kurtosis,fd_skewness,0.9804484052166068,0.9804484052166068,high_abs_rho_ge_0_90
entropyProfiled_kurtosis_sampleEntropy,entropyProfiled_skewness_sampleEntropy,0.9762336594958937,0.9762336594958937,high_abs_rho_ge_0_90
fuzzyEntropy,sampleEntropy,0.9719862349664904,0.9719862349664904,high_abs_rho_ge_0_90
fisherInfo,hjorthMobility,0.9571572209841512,0.9571572209841512,high_abs_rho_ge_0_90
singularValueDecompositionEntropy,hjorthMobility,0.9515458283460061,0.9515458283460061,high_abs_rho_ge_0_90
renyiEntropy,fd_standardDeviation,-0.9490051166742856,0.9490051166742856,high_abs_rho_ge_0_90
renyiEntropy,standardDeviation,-0.9440377488166246,0.9440377488166246,high_abs_rho_ge_0_90
singularValueDecompositionEntropy,fisherInfo,0.9409709652563736,0.9409709652563736,high_abs_rho_ge_0_90
fd_standardDeviation,standardDeviation,0.9349068296779757,0.9349068296779757,high_abs_rho_ge_0_90
HRV_RMSSD,HRV_SDNN,0.9340484057451907,0.9340484057451907,high_abs_rho_ge_0_90
approximateEntropy,sampleEntropy,0.9226196963578321,0.9226196963578321,high_abs_rho_ge_0_90
fd_variance,standardDeviation,0.918004263399999,0.918004263399999,high_abs_rho_ge_0_90
approximateEntropy,fuzzyEntropy,0.9086748019072114,0.9086748019072114,high_abs_rho_ge_0_90
renyiEntropy,fd_variance,-0.906450581173892,0.906450581173892,high_abs_rho_ge_0_90
entropyProfiled_standardDeviation_sampleEntropy,entropyProfiled_variance_sampleEntropy,0.8628752166593873,0.8628752166593873,moderate_abs_rho_ge_0_85
standardDeviation,variance,0.8572949745643967,0.8572949745643967,moderate_abs_rho_ge_0_85
fd_kurtosis,fd_maximum,0.8554149395618625,0.8554149395618625,moderate_abs_rho_ge_0_85
