cluster_id,feature,cluster_size,cluster_type
cluster_001,fd_standardDeviation,5,correlated_cluster_abs_rho_ge_0_85
cluster_001,fd_variance,5,correlated_cluster_abs_rho_ge_0_85
cluster_001,renyiEntropy,5,correlated_cluster_abs_rho_ge_0_85
cluster_001,standardDeviation,5,correlated_cluster_abs_rho_ge_0_85
cluster_001,variance,5,correlated_cluster_abs_rho_ge_0_85
cluster_002,fd_kurtosis,3,correlated_cluster_abs_rho_ge_0_85
cluster_002,fd_maximum,3,correlated_cluster_abs_rho_ge_0_85
cluster_002,fd_skewness,3,correlated_cluster_abs_rho_ge_0_85
cluster_003,entropyProfiled_kurtosis_sampleEntropy,2,correlated_cluster_abs_rho_ge_0_85
cluster_003,entropyProfiled_skewness_sampleEntropy,2,correlated_cluster_abs_rho_ge_0_85
cluster_004,approximateEntropy,3,correlated_cluster_abs_rho_ge_0_85
cluster_004,fuzzyEntropy,3,correlated_cluster_abs_rho_ge_0_85
cluster_004,sampleEntropy,3,correlated_cluster_abs_rho_ge_0_85
cluster_005,fisherInfo,3,correlated_cluster_abs_rho_ge_0_85
cluster_005,hjorthMobility,3,correlated_cluster_abs_rho_ge_0_85
cluster_005,singularValueDecompositionEntropy,3,correlated_cluster_abs_rho_ge_0_85
cluster_006,HRV_RMSSD,2,correlated_cluster_abs_rho_ge_0_85
cluster_006,HRV_SDNN,2,correlated_cluster_abs_rho_ge_0_85
cluster_007,entropyProfiled_standardDeviation_sampleEntropy,2,correlated_cluster_abs_rho_ge_0_85
cluster_007,entropyProfiled_variance_sampleEntropy,2,correlated_cluster_abs_rho_ge_0_85
singleton_008,QRS_mean,1,singleton
singleton_009,QRS_std,1,singleton
singleton_010,R_amp_mean,1,singleton
singleton_011,R_amp_std,1,singleton
singleton_012,signal_energy,1,singleton
singleton_013,HRV_MeanNN,1,singleton
singleton_014,HRV_pNN50,1,singleton
singleton_015,distributionEntropy,1,singleton
singleton_016,hjorthComplexity,1,singleton
singleton_017,lempelZivComplexity,1,singleton
singleton_018,permutationEntropy,1,singleton
singleton_019,spectralEntropy,1,singleton
singleton_020,entropyProfiled_average_sampleEntropy,1,singleton
singleton_021,entropyProfiled_maximum_sampleEntropy,1,singleton
singleton_022,entropyProfiled_median_sampleEntropy,1,singleton
singleton_023,entropyProfiled_total_sampleEntropy,1,singleton
singleton_024,detrendedFluctuation,1,singleton
singleton_025,higuchiFd,1,singleton
singleton_026,katzFd,1,singleton
singleton_027,petrosianFd,1,singleton
singleton_028,fd_bandPower,1,singleton
singleton_029,fd_mean,1,singleton
singleton_030,fd_median,1,singleton
singleton_031,fd_minimum,1,singleton
singleton_032,kurtosis,1,singleton
singleton_033,maximum,1,singleton
singleton_034,meanAbsoluteValue,1,singleton
singleton_035,median,1,singleton
singleton_036,minimum,1,singleton
singleton_037,numberOfZeroCrossing,1,singleton
singleton_038,positiveToNegativeSampleRatio,1,singleton
singleton_039,skewness,1,singleton
