scenario,feature,feature_family,n_segments,n_patients_total_after_filter,n_paired_patients,median_PreHI,median_HI,median_delta_HI_minus_PreHI,n_increase,n_decrease,n_no_change,dominant_direction,direction_consistency,wilcoxon_p,rank_biserial_effect_size,bootstrap_median_delta_ci_low,bootstrap_median_delta_ci_high,bootstrap_ci_excludes_zero,scenario_status,baseline_dominant_direction,baseline_median_delta_HI_minus_PreHI,baseline_direction_consistency,baseline_wilcoxon_p,baseline_rank_biserial_effect_size,direction_matches_baseline,median_delta_sign_matches_baseline,p_value_ratio_vs_baseline
full_cohort_baseline,kurtosis,time-domain statistics,1260,20,20,5.98,5.885,0.9924999999999997,15,5,0,increase,0.75,0.03623390197753906,0.5333333333333333,0.32749999999999996,1.9649999999999999,1,adequate_sample_size,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,1.0
full_cohort_baseline,HRV_MeanNN,HRV,1260,20,20,626.025792225,642.4071739,20.759493749999933,15,5,0,increase,0.75,0.05316925048828125,0.49523809523809526,1.6337561499999538,67.20964850000001,1,adequate_sample_size,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1.0
full_cohort_baseline,HRV_pNN50,HRV,1260,20,20,44.7382946925,30.966068794999998,-11.345795360000002,7,13,0,decrease,0.65,0.026641845703125,-0.5619047619047619,-16.897239735000007,0.7701153574999999,0,adequate_sample_size,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,1,1,1.0
full_cohort_baseline,entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,1260,20,20,2.3825000000000003,2.3425000000000002,-0.25500000000000017,5,13,2,decrease,0.65,0.034669963150986444,-0.5672514619883041,-0.615,0.0,0,adequate_sample_size,decrease,-0.25500000000000017,0.65,0.034669963150986444,-0.5672514619883041,1,1,1.0
full_cohort_baseline,fd_minimum,fractal-dimension summary features,1260,20,20,0.01,0.01,0.0,2,7,11,no_change,0.55,0.06661636996862676,-0.6666666666666666,-0.007499999999999999,0.0,0,adequate_sample_size,no_change,0.0,0.55,0.06661636996862676,-0.6666666666666666,1,1,1.0
full_cohort_baseline,QRS_mean,ECG morphology and signal energy,1260,20,20,0.13447805224999998,0.1513134615,0.01035768875000001,12,8,0,increase,0.6,0.023950576782226562,0.5714285714285714,-0.000832100749999995,0.029738985999999995,0,adequate_sample_size,increase,0.01035768875000001,0.6,0.023950576782226562,0.5714285714285714,1,1,1.0
full_cohort_baseline,fuzzyEntropy,entropy and complexity,1260,20,20,0.22999999999999998,0.2375,-0.01999999999999999,5,13,2,decrease,0.65,0.06399596863607887,-0.49707602339181284,-0.08000000000000002,0.0,0,adequate_sample_size,decrease,-0.01999999999999999,0.65,0.06399596863607887,-0.49707602339181284,1,1,1.0
full_cohort_baseline,fd_median,fractal-dimension summary features,1260,20,20,2.9525,1.86,-0.16249999999999998,7,13,0,decrease,0.65,0.08969497680664062,-0.4380952380952381,-0.6850000000000002,0.1050000000000001,0,adequate_sample_size,decrease,-0.16249999999999998,0.65,0.08969497680664062,-0.4380952380952381,1,1,1.0
full_cohort_baseline,entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,1260,20,20,0.1325,0.14,-0.015,3,11,6,decrease,0.55,0.0957872702101189,-0.5047619047619047,-0.0425,0.0,0,adequate_sample_size,decrease,-0.015,0.55,0.0957872702101189,-0.5047619047619047,1,1,1.0
qc_clean_segments,kurtosis,time-domain statistics,1153,20,19,6.6850000000000005,6.1,0.7749999999999999,14,5,0,increase,0.7368421052631579,0.07987594604492188,0.4631578947368421,0.125,1.7299999999999986,1,adequate_sample_size,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,2.204453334737064
